name,cohort,position
Hugh Aiken Bayne,1892,"lawyer Strong & Cadwalader, Adjutant General's Office and War Department during World War I"
Howell Cheney,1892,"manufacturer, founded Howell Cheney Technical High School[4]: 160"
Clive Day,1892,Professor of economic history at Yale[49]: 10–11
Henry S. Graves,1892,"co-founder and first Dean of Yale School of Forestry, 2nd chief of the U.S. Forest Service, founding member and 4th president of the Society of American Foresters[4]: 160"
James William Husted Jr.,1892,US Representative[23]: 1392
Pierre Jay,1892,first chairman of the Federal Reserve Bank of New York
Thomas Lee McClung,1892,"Treasurer of the United States, College Football Hall of Fame player"
Edson Fessenden Gallaudet,1893,aviation pioneer[34]: 32
Thomas Cochran,1894,partner in J.P. Morgan & Company[42]: 64
John Howland,1894,pediatrician at the Johns Hopkins Hospital
Ralph Delahaye Paine,1894,journalist and author
Harry Payne Whitney,1894,"investment banker, husband of Gertrude Vanderbilt Whitney[3]: 187"
Frank Seiler Butterworth,1895,"member Connecticut State Senate, All-American football player and coach[35]: 30"
Francis Burton Harrison,1895,"US Representative from New York, Governor-General of the Philippines[4]: 166"
Frank Augustus Hinkey,1895,"zinc smelting business, College Football Hall of Fame player and coach[13]: 169–70"
Jules Henri de Sibour,1896,architect[40]: 92–93
Anson Phelps Stokes,1896,clergyman and Secretary of Yale University (1899–1921)[3]: 74
Samuel Brinckerhoff Thorne,1896,"mining engineer and executive, College Football Hall of Fame[33]: 149–51"
Henry Sloane Coffin,1897,president of the Union Theological Seminary[3]: 127
Clarence Mann Fincke,1897,All-America football player
Amos Richards Eno Pinchot,1897,Progressive leader[53]: 88–9
James Wolcott Wadsworth Jr.,1898,U.S. Senator from New York[49]: 35
William Payne Whitney,1898,Whitney family businessman and philanthropist[54]: 171
Frederick H. Brooke,1899,"architect from Washington, D.C."
James McDevitt Magee,1899,US Representative from Pennsylvania[47]: 41
Alfred Gwynne Vanderbilt,1899,member of the Vanderbilt family
Frederick Baldwin Adams,1900,railroad executive
Ashley Day Leavitt,1900,"Congregational minister, Harvard Congregational Church, Brookline, Massachusetts, frequent lecturer and public speaker[4]: 175"
Percy Rockefeller,1900,"director of Brown Brothers Harriman, Standard Oil, and Remington Arms[3]: 165 [27]: 104"
Charles Edward Adams,1904,director of the Federal Reserve Bank of New York
Russell Cheney,1904,American painter and noted portrait artist.[3]: 86
Thomas Day Thacher,1904,"US District Court judge, Solicitor General[3]: 183 [4]: 183"
John Gillespie Magee,1906,"Yale Chaplain, documenter of the Rape of Nanking[11]: 205"
Foster Rockwell,1906,All-America football player and coach[59]: 116
William McCormick Blair,1907,"American financier, heir to the McCormick reaper fortune"
Hugh Smith Knox,1907,All-America football player[61]: 102
Samuel Finley Brown Morse,1907,"developer and conservationist, All-America football player[11]: 206"
Lucius Horatio Biglow,1908,All-America football player and coach[4]: 189
Charles Seymour,1908,"President of Yale (1937–1951), founding member of The Council on Foreign Relations[3]: 127, 147"
Harold Stanley,1908,co-founder of Morgan Stanley
Harvey Hollister Bundy,1909,Assistant Secretary of State (1931–1933)[3]: 183
Allen Trafford Klots,1909,"New York City lawyer and president of the New York City Bar Association, partner at Winthrop & Stimson[3]: 183–4"
Edward Harris Coy,1910,College Football Hall of Fame player[61]: 107–8
Albert DeSilver,1910,co-founder American Civil Liberties Union[23]: 1442
George Leslie Harrison,1910,President of the Federal Reserve Bank of New York[3]
Stephen Philbin,1910,"All-American football player, lawyer"
Robert Alphonso Taft,1910,US Senator from Ohio[3]: 126 [32]
Robert Abbe Gardner,1912,two-time U.S. Amateur-winning golfer[64]: 142
Gerald Clery Murphy,1912,painter[64]: 237
Alfred Cowles III,1913,"economist, founder of the Cowles Commission"
Averell Harriman,1913,"businessman, founding partner in Harriman Brothers & Company and later Brown Brothers Harriman & Co., U.S. Ambassador and Secretary of Commerce, Governor of New York, chairman and CEO of the Union Pac"
Henry Holman Ketcham,1914,College Football Hall of Fame[66]: 218
Edwin Arthur Burtt,1915,philosopher[67]: 983
Archibald MacLeish,1915,"poet and diplomat[3]: 185, 187–9"
Wesley Oler,1916,"baseball player and track and field athlete, competed in the 1912 Summer Olympics[68]: 171–2"
Howard Phelps Putnam,1916,poet[3]: 155
Donald Ogden Stewart,1916,"author and screenwriter, Academy Award-winner for The Philadelphia Story[3]: 127"
Prescott Bush,1917,"founding partner in Brown Brothers Harriman & Co., US Senator from Connecticut.[3]: 126, 144–5  His nickname was ""The Japanese""."
E. Roland Harriman,1917,co-founder Harriman Brothers & Company
Harry William LeGore,1917,All-America college football player
H. Neil Mallon,1917,"CEO of Dresser Industries[3]: 126, 145, 168"
Kenneth Farrand Simpson,1917,member of the United States House of Representatives from New York[22]: 144
Howard Malcolm Baldrige,1918,US Representative from Nebraska
F. Trubee Davison,1918,"WWI aviator, Assistant US Secretary of War, New York State Representative, Director of Personnel at the CIA[3]: 108, 187 [72]"
John Chipman Farrar,1918,"publisher, founder of Farrar & Rinehart and Farrar, Straus and Giroux[3]: 127"
Artemus Lamb Gates,1918,"businessman, US Assistant Secretary of the Navy for Air"
Robert A. Lovett,1918,US Secretary of Defense[3]: 184–8
Charles J. Stewart,1918,first chairman of Manufacturers Hanover Trust Company
Charles Phelps Taft II,1918,"son of President William Howard Taft, Mayor of Cincinnati, Ohio"
John Martin Vorys,1918,US Representative from Ohio[71][77]: 427
Lewis Greenleaf Adams,1920,architect[2]
Briton Hadden,1920,"co-founder of Time-Life Enterprises[3]: 127, 150"
Francis Thayer Hobson,1920,chair of William Morrow[2]
David Sinton Ingalls,1920,"WWI Navy Flying Ace, Ohio State Representative, Assistant Secretary of the Navy"
Henry Luce,1920,co-founder of Time-Life Enterprises[3]: 109–10
Juan Terry Trippe,1921,Founder Pan American Airways
Stanley Woodward,1922,"US Foreign Service officer, State Department Chief of Protocol, US Ambassador to Canada"
John Sherman Cooper,1923,US Senator from Kentucky[80]: 19
Russell Davenport,1923,editor of Fortune magazine; created Fortune 500 list
F. O. Matthiessen,1923,"historian, literary critic[3]: 126"
Edwin Foster Blair,1924,lawyer
Walter Edwards Houghton,1924,"historian of Victorian literature, compiler of The Wellesley Index to Victorian Periodicals, 1824–1900[82]"
Charles Merville Spofford,1924,lawyer and NATO official
Marvin Allen Stevens,1925,"orthopedic surgeon, College Football Hall of Fame player and coach"
James Jeremiah Wadsworth,1927,"diplomat, US Ambassador to the UN"
George Herbert Walker Jr.,1927,financier and co-founder of the New York Mets; uncle to President George Herbert Walker Bush[3]: 164
John Rockefeller Prentice,1928,lawyer and cattle breeder
Lanny Ross,1928,singer.[32][86]
Granger Kent Costikyan,1929,partner Brown Brothers Harriman
George Crile Jr.,1929,surgeon[89]: 50
Charles Alderson Janeway,1930,Professor of Pediatrics at Harvard Medical School
H. J. Heinz II,1931,heir to H. J. Heinz Company; father of H. John Heinz III[3]: 174
Lewis Abbot Lapham,1931,banking and shipping executive
John M. Walker,1931,"physician, investment banker[3]: 164"
Frederick Baldwin Adams Jr.,1932,"bibliophile, director of the Pierpont Morgan Library"
Samuel Hazard Gillespie Jr.,1932,"U.S. Attorney for the Southern District of New York, senior counsel at Davis Polk & Wardwell"
Tex McCrary,1932,"journalist, public relations and political strategist to President Eisenhower[3]: 125"
Eugene O'Neill Jr.,1932,"professor of Greek literature, son of Eugene O'Neill[35]: 94"
Francis Judd Cooke,1933,composer
Samuel Carnes Collier,1935,"advertising, racecar driver"
Lyman Spitzer,1935,theoretical physicist and namesake of the NASA Spitzer Space Telescope
Sonny Tufts,1935,actor
Jonathan Brewster Bingham,1936,U.S. Representative (D-New York)[3]: 165
Brendan Gill,1936,author and New Yorker contributor[3]: 127
John Hersey,1936,author[3]: 127
John Merrill Knapp,1936,"musicologist, professor at Princeton University"
William H. Orrick Jr.,1937,"United States federal judge, brother of Andrew Downey Orrick"
Potter Stewart,1937,"U.S. Supreme Court Justice[3]: 127, 171"
J. Richardson Dilworth,1938,Rockefeller family lawyer
Clinton Frank,1938,"advertising, College Football Hall of Fame and Heisman Trophy-winning player"
Albert Hessberg II,1938,"lawyer, first Jewish member of Skull and Bones[100]"
William P. Bundy,1939,"State Department liaison for the Bay of Pigs invasion, brother of McGeorge Bundy[3]: 186"
William Welch Kellogg,1939,"climatologist, associate director National Center for Atmospheric Research"
McGeorge Bundy,1940,"Special Assistant for National Security Affairs; National Security Advisor; Professor of History, brother of William Bundy[3]: 53"
Andrew Downey Orrick,1940,acting chairman of the Securities and Exchange Commission
Barry Zorthian,1941,"American diplomat, most notably press officer in Saigon for 4+1⁄2 years during Vietnam War[3]: 173 [104]"
David Acheson,1943,"author, lawyer, son of Dean Acheson[3]: 188"
James L. Buckley,1944,"U.S. Senator (R-New York 1971–1977) and brother of William F. Buckley Jr.[3]: 168, 174 [106]"
John Bannister Goodenough,1944,solid-state physicist at the University of Texas at Austin[108] and winner of the 2019 Nobel Prize in Chemistry
Townsend Walter Hoopes II,1944,"historian, Under Secretary of the Air Force (1967–69)[3]: 188"
William Singer Moorhead,1944,US Representative from Pennsylvania[77]
James Whitmore,1944,actor
John Chafee,1947,"U.S. Senator, Secretary of the Navy and Governor of Rhode Island, father of Lincoln Chafee[3]: 168, 171"
Josiah Augustus Spaulding,1947,"lawyer, partner Bingham Dana & Gould"
Charles S. Whitehouse,1947,"CIA Agent (1947–1956), U.S. Ambassador to Laos and Thailand in the 1970s.[3]: 174"
Thomas William Ludlow Ashley,1948,US Representative from Ohio[3]: 167–72
George H. W. Bush,1948,"41st President of the United States, 11th Director of Central Intelligence (CIA), son of Prescott Bush, father of George W. Bush. His Skull and Bones nickname was ""Magog"".[3]: 167–8"
William Sloane Coffin,1949,"CIA agent (1950–1953), clergyman and peace activist[3]: 127, 196"
Daniel Pomeroy Davison,1949,"banker, president United States Trust Corporation"
Tony Lavelli,1949,basketball player[3]: 169
David McCord Lippincott,1949,novelist and composer
Charles Edwin Lord II,1949,"banker, Vice-chairman of the Export-Import Bank of the United States"
William F. Buckley Jr.,1950,"founder of National Review,[3]: 41  former CIA officer"
William Henry Draper III,1950,"Chair of United Nations Development Programme and Export-Import Bank of the United States[3]: 174–5, 179"
Evan G. Galbraith,1950,"US Ambassador to France; managing director of Morgan Stanley[3]: 181, 187"
Thomas Henry Guinzburg,1950,president Viking Press
Raymond Price,1951,"speechwriter for Presidents Nixon, Ford, and Bush.[3]: 173"
Fergus Reid Buckley,1952,author and public speaker
Charles Sherman Haight Jr.,1952,Connecticut District Court judge
Jonathan James Bush,1953,"banker, son of Prescott Bush[3]: 145, 179"
William H. Donaldson,1953,"appointed chairman of the U.S. Securities and Exchange Commission by George W. Bush; founding dean of Yale School of Management; co-founder of Donaldson, Lufkin & Jenrette investment firm[3]: 166, 173"
John Birnie Marshall,1953,Olympic medal-winning swimmer
James Price McLane,1953,Olympic medal-winning swimmer
George Herbert Walker III,1953,US Ambassador to Hungary[3]: 164
David McCullough,1955,U.S. historian; two-time Pulitzer Prize winner[3]: 127
Caldwell Esselstyn,1956,"Olympic medal-winning rower, physician, author"
Jack Edwin McGregor,1956,"Pennsylvania State Senator, founder Pittsburgh Penguins"
R. Inslee Clark Jr.,1957,"former Director of Undergraduate Admissions for Yale College; former Headmaster of Horace Mann School[3]: 153, 176"
Linden Stanley Blue,1958,aviation executive
Robert Morey,1958,Olympic medal-winning rower
Stephen Adams,1959,"American businessman, founder Adams Outdoor[3]: 180"
Winston Lord,1959,"Chairman of Council on Foreign Relations; Ambassador to China; Assistant U.S. Secretary of State[3]: 174–5, 189"
Eugene Lytton Scott,1960,"tennis player, founder Tennis Week"
Michael Johnson Pyle,1960,National Football League player
William Hamilton,1962,New Yorker cartoonist
David L. Boren,1963,"Governor of Oklahoma, U.S. Senator, President of the University of Oklahoma[3]: 124, 158"
Michael Gates Gill,1963,"advertising executive, author"
William Dawbney Nordhaus,1963,Sterling Professor of Economics at Yale University and winner of the 2018 Nobel Prize in Economics
Orde Musgrave Coombs,1965,"author, editor, first black member of Skull and Bones"
John Shattuck,1965,"US diplomat and ambassador, university administrator"
John Forbes Kerry,1966,68th United States Secretary of State (2013–2017); U.S. Senator (D-Massachusetts; 1985–2013);  Lieutenant Governor of Massachusetts (1983–1985); 2004 Democratic Party Presidential nominee;[3]: 112
David Rumsey,1966,founder of the David Rumsey Map Collection and president of Cartography Associates
Frederick Wallace Smith,1966,"founder of FedEx[3]: 172, 180–1"
David Thorne,1966,United States Ambassador to Italy[3]: 85
Victor Ashe,1967,"Tennessee State Senator and Representative, Mayor of Knoxville, Tennessee, US Ambassador to Poland[3]: 181–2"
Roy Leslie Austin,1968,"appointed ambassador to Trinidad and Tobago by George W. Bush[3]: 177, 181–2"
George W. Bush,1968,"grandson of Prescott Bush; son of George H. W. Bush; 46th Governor of Texas; 43rd President of the United States. His nickname was either ""Gog""[3]: 4~3:33  or “Temporary”."
Rex William Cowdry,1968,Acting Director National Institute of Mental Health (1994–96)[3]: 177
Robert McCallum Jr,1968,"Ambassador to Australia[3]: 177, 181"
Don Schollander,1968,"developer; author; US Olympic Hall of Fame inductee; four-time Olympic Gold medallist swimmer[3]: 126, 177"
Brian John Dowling,1969,"National Football League player, inspiration for B.D. in Doonesbury"
Stephen Allen Schwarzman,1969,co-founder of The Blackstone Group[132]
Douglas Preston Woodlock,1969,US federal judge
Charles Herbert Levin,1971,actor
George E. Lewis,1974,trombonist and composer
Christopher Taylor Buckley,1975,"author, editor, chief speechwriter for Vice President George H. W. Bush[3]: 173"
Robert Curtis Brown,1979,"American Film, Television and Stage Actor"
Robert William Kagan,1980,foreign policy writer
Michael Cerveris,1983,"American actor, singer, and guitarist"
Earl G. Graves Jr.,1984,president of Black Enterprise
Edward S. Lampert,1984,founder of ESL Investments; chairman of Sears Holdings Corporation[3]: 180
James Emanuel Boasberg,1985,"judge, United States District Court for the District of Columbia"
Steven Mnuchin,1985,United States Treasury Secretary
Paul Giamatti,1989,"American actor and producer; son of A. Bartlett Giamatti, President of Yale 1978-86"
Dana Milbank,1990,author and columnist at The Washington Post
Austan Goolsbee,1991,staff director to and chief economist of President Barack Obama's Economic Recovery Advisory Board
David Leonhardt,1994,journalist and columnist at The New York Times
Angela Buchdahl,1994,first East-Asian American ordained Rabbi and Chief Rabbi of Central Synagogue
Tali Farhadian Weinstein,1997,"attorney, professor, and former candidate for New York County District Attorney"
Noah P. Hood,2008,"justice, Michigan Supreme Court"
ISBN,2003,". ""The Skeleton Crew"". Fleshing Out Skull and Bones: Investigations into America's Most Powerful Secret Society. Walterville, OR: Trine Day. pp. 597–690. ISBN 0-9720207-2-1. ""This list is compiled fro"
"Robbins, Alexandra",2002,". Secrets of the Tomb: Skull and Bones, the Ivy League, and the Hidden Paths of Power. Boston: Little, Brown. ISBN 0-316-72091-7. Retrieved November 15, 2015."
ISBN,1989,". Selvages and Biases: The Fabric of History in American Culture. Cornell University Press. p. 223. ISBN 0801494044. Retrieved November 15, 2015."
University of Illinois,1995,". Stagg's University: The Rise, Decline, and Fall of Big-time Football at Chicago. University of Illinois Press. p. 9."
ISBN,2004,". American dynasty: aristocracy, fortune, and the politics of deceit in the house of Bush. Penguin. ISBN 9781101200803. Retrieved November 15, 2015."
ISBN,2006,. The Millionaires' Unit: The Aristocratic Flyboys who Fought the Great War and Invented America's Airpower. New York: Public Affairs. ISBN 1-58648-328-5.
"Isaacson, Walter",1997,. The Wise Men: Six Friends and the World They Made. Simon and Schuster. p. 690.
ISBN,1992,". The way it was: sex, surgery, treasure, and travel, 1907–1987. Kent State University Press. ISBN 9780873384650. Retrieved November 15, 2015."
"Rosenbaum, Ron",1977,". ""The Last Secrets of Skull and Bones"". Esquire. ISBN 9780375503382. Retrieved March 27, 2011."
ISBN,2005,". Yale's Ironmen: A Story of Football & Lives in the Decade of the Depression & Beyond. iUniverse. p. 157. ISBN 9780595803798. Retrieved November 15, 2015."
ISBN,1985,". Joining the Club: A History of Jews and Yale. New Haven: Yale University Press. pp. 87–88, 351. ISBN 0-300-03330-3."
PublishAmerica,2008,". Witness to Grace. PublishAmerica. ISBN 9781462607570. Retrieved November 15, 2015."
ISBN,1991,". Vietnam, a history. Viking. p. 571. ISBN 978-0-14-014533-5."
"Judis, John B.",2001,". William F. Buckley Jr.: Patron Saint of the Conservatives. Simon and Schuster. ISBN 9780743217972. Retrieved November 15, 2015."
