name,years,country,sector,position
Marc Ullmann,,France,,
Pierre Uri,,France,,
Gancia Vallarino Lorenzo,,Italy,,
Gerrit Wagner,,Netherlands,,
Michel Woitrin,,Belgium,,
Paul Ylvisaker,,United States,,
Henrik Jan van Asbeck,,Netherlands,,
Marchese Gian G. Cittadini Cesi,,Italy,,
Ole Marott,,Denmark,,
Bertie Royle,,Netherlands,,
Michel Alliot,,France,,
Graham Allison,,United States,,
Renato Altissimo,,Italy,,
Eric Ashby,,United Kingdom,,
Walter Bechtold,,Switzerland,,
Gilberto Bernardini,,Italy,,
Hubert Beuve-Méry,,France,,
Laurens Jan Brinkhorst,,Netherlands,,
L. E. Jan Brouwer,,Netherlands,,
W.L. Brugsma,,Netherlands,,
Daniel Cornu,,Switzerland,,
John Culver,,United States,,
Gaston Deurinck,,Belgium,,
Eric Drake,,United Kingdom,,
Ron Edwards,,United Kingdom,,
Dante Fascell,,United States,,
Edgar Faure,,France,,
Gérard Filion,,Canada,,
Franz Froschmaier,,International,,
Kurt Furgler,,Switzerland,,
Andreas Gerwig,,Switzerland,,
Olivier Giscard d'Estaing,,France,,
Andrew Goodpaster,,International,,
Roy Hattersley,,United Kingdom,,
Ivan Head,,Canada,,
Stuart Holland,,United Kingdom,,
Vernon Jordan,,United States,,
Karl Kaiser,,West Germany,,
Francis Keppel,,United States,,
Alexander King,,United Kingdom,,
Lars Langslet,,Norway,,
Douglas LePan,,Canada,,
Henri Lesguillons,,France,,
Arrigo Levi,,Italy,,
Pierre Liotard-Vogt,,Switzerland,,
Seymour Martin Lipset,,United States,,
Bernard Mach,,Switzerland,,
Charles Mathias,,United States,,
Martin Meyerson,,United States,,
Sven Moberg,,Sweden,,
Nils Ørvik,,Norway,,
Christopher Price,,United Kingdom,,
Joseph Rhodes Jr.,,United States,,
John Roberts,,Canada,,
John D.Rockefeller IV,,United States,,
Alfred Schaefer,,Switzerland,,
Max Schmidheiny,,Switzerland,,
Robert B. Silvers,,United States,,
Georges Streichenberg,,Switzerland,,
Hans Tschudi,,Switzerland,,
Cyrus Vance,,United States,,
Georges Vedel,,France,,
Klaus Waris,,Finland,,
Richard von Weizsäcker,,West Germany,,
Paul Reutlinger,,Switzerland,,
Robert Orville Anderson,,United States,,
Andre Aumonier,,France,,
Karl Bendetsen,,United States,,
Ingemund Bengtsson,,Sweden,,
Selahattin Beyazıt,,Turkey,,
Robert Bourassa,,Canada,,
Karl Carstens,,West Germany,,
Raymond H. A. Carter,,France,,
Karl Casserini,,Switzerland,,
Frederick Catherwood,,United Kingdom,,
John Cockcroft,,United Kingdom,,
John J. Carson,,United States,,
John Thomas Dunlop,,United States,,
Donald Duster,,United States,,
Osborn Elliott,,United States,,
Ralph Enckell,,Finland,,
Donald M. Fraser,,United States,,
Peter Frelinghuysen Jr.,,United States,,
Emanuele Gazzo,,Italy,,
Giuseppe Glisenti,,Italy,,
Ronald Grierson,,United Kingdom,,
Thomas L. Hughes,,United States,,
Peter Idenburg,,Netherlands,,
Adolf Jann,,Switzerland,,
Jacob Albert Carl Gustaf von Julin,,Finland,,
Gualtherus Kraijenhoff,,Netherlands,,
Leo Lambert,,Belgium,,
Paul Leman,,Canada,,
Donald Stovel Macdonald,,Canada,,
Gordon J. F. MacDonald,,United States,,
Ian MacGregor,,United States,,
Gilles Martinet,,France,,
Gian Migone,,Italy,,
Robert Pease,,United States,,
Gianfranco Piazzesi,,Italy,,
Henry S. Reuss,,United States,,
Donald Riegle,,United States,,
John D. Rockefeller IV,,United States,,
Abraham Rotstein,,Canada,,
Gerhard Schröder,,West Germany,,
Joseph E. Slater,,United States,,
Andre Spoor,,Netherlands,,
Howard Stein,,United States,,
Adlai Stevenson III,,United States,,
George Thomson,,United Kingdom,,
August A. J. Vanistendael,,Belgium,,
John W. Vogt Jr.,,United States,,
Hans-Jürgen Wischnewski,,West Germany,,
Roger Stone,,United States,,
Hans Arnold,,Germany,,
C. Fred Bergsten,,United States,,
Muharrem Nuri Birgii,,Turkey,,
Kurt Birrenbach,,Germany,,
W. Michael Blumenthal,,United States,,
Andrew Brimmer,,United States,,
Neil Brown,,Australia,,
John C. Browne,,United Kingdom,,
Miriam Camp,,United States,,
Cittadini Cesi,,Italy,,
Umberto Colombo,,Italy,,
Peter Corterier,,Germany,,
Ralf Dahrendorf,,United Kingdom,,
Michel David-Weill,,France,,
Étienne Davignon,,Belgium,,
Jean-François Deniau,,France,,
Marion Dönhoff,,Germany,,
Roberto Ducci,,Italy,,
Anton F. J. Dijkgraaf,,Netherlands,,
Manuel Espirito Santo Silva,,Portugal,,
Thomas Fleener,,Switzerland,,
Françoise Giroud,,France,,
Geir Hallgrímsson,,Iceland,,
Maria J. 't Hooft,,Netherlands,,
Amory Houghton,,United States,,
Paul E. Janssen,,Belgium,,
Paul Jolles,,Switzerland,,
Henri J. de Koster,,Netherlands,,
Léon Lambert,,Belgium,,
Harold Lever,,United Kingdom,,
John Hugo Loudon,,Netherlands,,
Roy MacLaren,,Canada,,
Bayless Manning,,United States,,
Johannes Meynen,,Netherlands,,
Beatrix of the Netherlands,,Netherlands,,
Alberto Franco Nogueira,,Portugal,,
Simon Nora,,France,,
Niels Norlund,,Denmark,,
Schelto Patijn,,Netherlands,,
Benjamin F. Payton,,United States,,
André Raynauld,,Canada,,
William Rees-Mogg,,United Kingdom,,
Jean Riboud,,France,,
Yves Sabouret,,France,,
Robert A. Scalapino,,United States,,
Robert Schaetzel,,United States,,
Gerhard Schröder,,Germany,,
Helge Seip,,Norway,,
Jacques Solvay,,Belgium,,
Shirley Summerskill,,United Kingdom,,
Michel Tatu,,France,,
Arthur R. Taylor,,United States,,
Robert Vandeputte,,Belgium,,
Jack H. Warren,,Canada,,
Alan Westerman,,Australia,,
Otto Wolff von Amerongen,,Germany,,
Elmo Zumwalt,,United States,,
L.Hulhoven,,Belgium,,
E. Verned,,Netherlands,,
Jan Tonny Warmenhoven,,Netherlands,,
"Eugene M. Getchell, Jr.",,United States,,
Ernst van der Beugel,,Netherlands,,
Erling Bjol,,Denmark,,
Anders Björgerd,,Sweden,,
Marcel Boiteux,,France,,
Birgit Breuel,,Germany,,
William Bundy,,United States,,
Raffaele Girotti,,Italy,,
Rene Granier de Lilliac,,France,,
Denis Greenhill,,United Kingdom,,
Niels Haagerup,,Denmark,,
Henry J. Heinz,,United States,,
Jozef Houthuys,,Belgium,,
Otto Kersten,,Germany,,
Lewis H. Lapham,,United States,,
Sakari T. Lehto,,Finland,,
Walter J. Levy,,United States,,
Finn Lied,,Norway,,
Siro Lombardini,,Italy,,
Peter Lougheed,,Canada,,
Cesare Merlini,,Italy,,
Erich Mettler,,Switzerland,,
David Owen,,United Kingdom,,
Frits Philips,,Netherlands,,
Edgar Ritchie,,Canada,,
Samuel Rozemond,,Netherlands,,
Helmut Schmidt,,Germany,,
Roger Seydoux de Clausonne,,France,,
John M. Simon,,United Kingdom,,
Gerard C. Smith,,United States,,
Theo Sommer,,Germany,,
Fernand Spaak,,Belgium,,
Paul Stehlin,,France,,
Thorvald Stoltenberg,,Norway,,
Gunnar Sträng,,Sweden,,
Richard Taverner,,United Kingdom,,
Berend Udink,,Netherlands,,
Krister Wickman,,Sweden,,
Carroll L. Wilson,,United States,,
Hans-Jürgen Wischnewski,,Germany,,
Nils Svensson,,Sweden,,
Hugo Lindgren,,Sweden,,
Charles W. Getchell Jr.,,United States,,
John Black Aird,,Canada,,
Hervé Alphand,,France,,
K. B. Andersen,,Denmark,,
Hannes Androsch,,Austria,,
Enzo Bettiza,,Italy,,
James Chace,,United States,,
Albin Chalandon,,France,,
Mariano Cittadini,,Italy,,
Ralf Dahrendorf,,International,,
Michel Dupuy,,Canada,,
Lucie Faure,,France,,
André Fontaine,,France,,
Frank Giles,,United Kingdom,,
Andrew Goodpaster,,United States,,
Henry A. Grunwald,,United States,,
Guillaume Guindey,,France,,
Maurice Herzog,,France,,
Hans Igler,,Austria,,
Aubrey Jones,,United Kingdom,,
Poul Louis Justman Jacob,,Netherlands,,
Karl Kaiser,,Germany,,
Walther Leisler Kiep,,Germany,,
Giorgio La Malfa,,Italy,,
Rene Larre,,France,,
Louis Leprince-Ringuet,,France,,
Robert Winston,,United states,,
Joseph Luns,,International,,
Walter Mondale,,United States,,
Claude Monnier,,Switzerland,,
Ole Myrvoll,,Norway,,
John S. Pesmazoglu,,Greece,,
Geoffrey Rippon,,United Kingdom,,
Bill Rodgers,,United Kingdom,,
Nelson Rockefeller,,United States,,
Reino Rossi,,Finland,,
Jeanne Sauvé,,Canada,,
Helmut Sonnenfeldt,,United States,,
Gerald L. Thompson,,United Kingdom,,
"Charles W. Getchell, Jr",,United States,,
Robert Pitti-Ferrandi,,France,,
Eduard Vernede,,Netherlands,,
Semih Akbil,,Turkey,,
Jacques Attali,,France,,
Kurt Becker,,Germany,,
William F. Buckley Jr.,,United States,,
İhsan Sabri Çağlayangil,,Turkey,,
Diomede Catroux,,France,,
Richard Cooper,,United States,,
Alfons Dalma,,Austria,,
John M. Deutch,,Canada,,
İhsan Doğramacı,,Turkey,,
Klaus von Dohnanyi,,Germany,,
Bülent Ecevit,,Turkey,,
Turhan Feyzioğlu,,Turkey,,
Garret FitzGerald,,Ireland,,
"Forte, Francesco",,Italy,,
Curt Gasteyger,,Switzerland,,
Herbert Giersch,,Germany,,
Oğuz Gökmen,,Turkey,,
Duncan L. Gordon,,Canada,,
Johan M. Goudszwaard,,Netherlands,,
Erich Gysling,,Switzerland,,
Victor Halberstadt,,Netherlands,,
Arnold Hall,,United Kingdom,,
Arthur A. Hartman,,United States,,
Theodore Hesburgh,,United States,,
Odd Højdahl,,Norway,,
John Horam,,United Kingdom,,
Robert W. Hubner,,United States,,
Kâmran İnan,,Turkey,,
Hasan E. Işık,,Turkey,,
Max Jakobson,,Finland,,
Gülten Kazgan,,Turkey,,
Andrew Knight,,United Kingdom,,
Karl Lorck,,Norway,,
William A. Macdonald,,United States,,
Paul McCracken,,United States,,
Thierry de Montbrial,,France,,
Joseph Morris,,Canada,,
"James A. Perkins, J",,United States,,
Joel Pritchard,,United States,,
Gordon Richardson,,United Kingdom,,
Robert Roosa,,United States,,
Donald Rumsfeld,,United States,,
Lionel Stoléru,,France,,
C. L. Sulzberger,,United States,,
Margaret Thatcher,,United Kingdom,,
J. V. Thygesen,,Denmark,,
Halil Tunç,,Turkey,,
Dagfinn Vårvik,,Norway,,
Franz Vranitzky,,Austria,,
Sigmund Widmer,,Switzerland,,
Memduh Yaşa,,Turkey,,
Selçuk Yaşar,,Turkey,,
David L. Aaron,,United States,,
Tina Anselmi,,Italy,,
Jack F. Bennett,,United States,,
Georges Berthoin,,France,,
Trygve Bratteli,,Norway,,
Cesi Cittadini,,Italy,,
Richard N. Cooper,,United States,,
Jean-Pierre Cot,,France,,
Étienne Davignon,,France,,
Klaus von Dohnanyi,,West Germany,,
Wim Duisenberg,,The Netherlands,,
Rodney Elton,,United Kingdom,,
Murray Finley,,United States,,
Paul B. Finney,,United States,,
Charles Forte,,United Kingdom,,
Manuel Fraga,,Spain,,
Marcella Glisenti,,Italy,,
Olivier Guichard,,France,,
Wolfgang Hager,,West Germany,,
Victor Halberstadt,,The Netherlands,,
Geir Hallgrimsson,,Iceland,,
Henry J. II Heinz,,United States,,
R.Henderson,,United Kingdom,,
Joseph E. Johnson,,United States,,
Keith Joseph,,United Kingdom,,
Walther Leisler Kiep,,West Germany,,
Joseph L. Kirkland,,United States,,
Arthur Knight,,United Kingdom,,
Max Kohnstamm,,International,,
Marc Lalonde,,Canada,,
Willy Linder,,Switzerland,,
Peter Macadam,,United Kingdom,,
Robert M. MacIntosh,,Canada,,
Bruce MacLaury,,United States,,
Alonzo L. McDonald,,United States,,
Jose de Medeiros Ferreira,,Portugal,,
J. Irwin Miller,,United States,,
Sivert Nielsen,,Norway,,
John Nott,,United Kingdom,,
Arend Oetker,,West Germany,,
David Orr,,United Kingdom,,
François-Xavier Ortoli,,France,,
Raymond Pennoc,,United Kingdom,,
G. A. Regan,,Canada,,
Pierre Salmon,,France,,
Carlo Sartori,,Italy,,
Edward Shackleton,,United Kingdom,,
Feyo O. J. Sickinghe,,The Netherlands,,
Theo Sommer,,West Germany,,
Constantin Stavropoulos,,Greece,,
David Steel,,United Kingdom,,
Arthur Taylor von Mehren,,United States,,
Lester Thurow,,United States,,
Heinrich Treichl,,Austria,,
Siegmund George Warburg,,United Kingdom,,
Graham Wickman,,United Kingdom,,
Charles Getchell Jr.,,United States,,
Beniamino Andreatta,,Italy,,
Joachim Angermeyer,,West Germany,,
Robert Bartley,,United States,,
Andre Batenburg,,The Netherlands,,
George B. Bell,,Canada,,
Jack Bennett,,United States,,
Christoph Bertram,,United Kingdom,,
Tor Brekke,,Norway,,
Andreas von Bülow,,West Germany,,
Peter Carington,,United Kingdom,,
Frank T. Cary,,United States,,
Robert-Charles Close,,Belgium,,
Barber Conable,,United States,,
Vítor Constâncio,,Portugal,,
George Contogeorgis,,Greece,,
Ralph Davidson,,United States,,
Edmund Dell,,United Kingdom,,
William Diebold,,United States,,
Wim van Eekelen,,The Netherlands,,
Bernard Esambert,,France,,
Thorbjörn Fälldin,,Sweden,,
George Brown,,United Kingdom,,
Meg Greenfield,,United States,,
Patrick Haggerty,,United States,,
Alexander Haig,,United States,,
Rolf Hansen,,Norway,,
John Harvey-Jones,,United Kingdom,,
John H. Heinz III,,United States,,
Alfred Herrhausen,,West Germany,,
Jef Houthuys,,Belgium,,
Phillip A. Karber,,United States,,
Otto Kersten,,West Germany,,
Adolf Nussbaumer,,Austria,,
Sylvia Ostry,,Canada,,
Peter G. Peterson,,United States,,
Francois de Rose,,France,,
Juan Jose Rovira,,Spain,,
Paolo Savona,,Italy,,
Stefano Silvestri,,Italy,,
Anthony M. Solomon,,United States,,
George Stinson,,United States,,
Michel Tatu,,United States,,
Gaston Thorn,,Luxembourg,,
Mika Tiivola,,Finland,,
Clifton R. Wharton Jr.,,United States,,
Marina von Neumann Whitman,,United States,,
George Will,,United States,,
ynne Williams,,United States,,
Andreas F. Zaimis,,Greece,,
John Zysman,,United States,,
Herbert Cordt,,Austria,,
Charles Getchell,,United States,,
Thomas Heine-Geldern,,Austria,,
Charles W. Muller,,United States,,
Grant Winthrop,,United States,,
Herlbert Apfalter,,Austria,,
Nicholas Eden,,United Kingdom,,
Vittorio Barattier,,Italy,,
Christoph Bertram,,West Germany,,
Christian Beullac,,France,,
Birgit Breuel,,West Germany,,
Tassilo Broesigke,,Austria,,
Lewis Dean Brown,,United States,,
Kostas Karras,,Greece,,
John Chafee,,United States,,
Henning Christophersen,,Denmark,,
Alfred Dallinger,,Austria,,
Wim Duisenberg,,Netherlands,,
Theodore L. Eliot Jr.,,United States,,
Paul Finnegan,,United States,,
Heinz Fischer,,Austria,,
William Foltz,,United States,,
Wayne J. Fredericks,,United States,,
Fritz Gerber,,Switzerland,,
Knut Getz Wold,,Norway,,
Helmut Haussmann,,West Germany,,
Daniel E. Janssen,,Belgium,,
Christian Kind,,Switzerland,,
Bruno Kreisky,,Austria,,
Erwin Lanc,,Austria,,
Franz J. Leibenfrost,,Austria,,
Bernard Lewis,,United Kingdom,,
Flora Lewis,,United States,,
Maurice Macmillan,,United Kingdom,,
David E. McGiffert,,United States,,
Jérôme Monod,,France,,
Roelof Nelissen,,Netherlands,,
Edward Neufeld,,Canada,,
David D. Newsom,,United States,,
Willibald Pahr,,Austria,,
Thomas Prinzhorn,,Austria,,
Jacques Rastoul,,Canada,,
Detlev Karsten Rohwedder,,West Germany,,
Joaquin Romero-Maura,,Spain,,
Roger Savory,,Canada,,
Ernest A. Seillière,,France,,
Jack Sheinkman,,United States,,
Reiulf Steen,,Norway,,
Ludwig Steiner,,Austria,,
Josef Taus,,Austria,,
Nicola Tufarelli,,Italy,,
Ola Ullsten,,Sweden,,
Franklin H. Williams,,United States,,
Joseph H. Williams,,United States,,
Lars Wohlin,,Sweden,,
Jacques van Ypersele de Strihou,,Belgium,,
Oswald Aeppli,,Switzerland,,
John Baring,,United Kingdom,,
Reginald Bartholomew,,United States,,
Luigi Barzini,,Italy,,
Giorgio Benvenuto,,Italy,,
Christoph Bertram,,Federal Republic of Germany,,
Birgit Breuel,,Federal Republic of Germany,,
Guido Brunner,,Federal Republic of Germany,,
Ignacio Camuñas,,Spain,,
Olivier Chevrillon,,France,,
Peter Corterier,,Federal Republic of Germany,,
Thomas R. Donahue.,,United States,,
William B. Duncan,,United Kingdom,,
Luigi Ferro,,Italy,,
Paul Finney,,United States,,
Jean-Claude Gisling,,Switzerland,,
Alfred Grosser,,France,,
Herbert Grunewald,,Federal Republic of Germany,,
Helmut Haussmann,,Federal Republic of Germany,,
Alfred Herrhausen,,Federal Republic of Germany,,
H.F. van den Hoven,,Netherlands,,
Gunter Huonker,,Federal Republic of Germany,,
Douglas Hurd,,United Kingdom,,
Karlheinz Kaske,,Federal Republic of Germany,,
Helmut Kohl,,Federal Republic of Germany,,
Walther Leisler Kiep,,Federal Republic of Germany,,
Joseph Kraft,,United States,,
Léon Lambertn,,Belgium,,
Otto Lambsdorff,,Federal Republic of Germany,,
Albert Legault,,Canada,,
Walter Levy,,United States,,
Franz Lutolf,,Switzerland,,
H. Ian Macdonald,,Canada,,
Judith Maxwell,,United Kingdom,,
José Medeiros Ferreira,,Portugal,,
Jean-Paul Parayre,,France,,
Gerhard Prinz,,Federal Republic of Germany,,
Romano Prodi,,Italy,,
Gerhard Schmidt,,Federal Republic of Germany,,
Helmut Schmidt,,Federal Republic of Germany,,
Karel Schwarzenberg,,Austria,,
Antoine Seilliere,,France,,
Theo Sommer,,Federal Republic of Germany,,
Dieter Spethmann,,Federal Republic of Germany,,
Barbara Spinelli,,Italy,,
Max van der Stoel,,Netherlands,,
Franklin Thomas,,United States,,
Leo Tindemans,,Belgium,,
Gregory F. Treverton,,United States,,
Harry Tuzo,,United Kingdom,,
Helen Vlachos,,Greece,,
Rüdiger von Wechmar,,Federal Republic of Germany,,
Niels Werring,,Norway,,
Otto Wolff von Amerongen,,Federal Republic of Germany,,
Hans-Jorg Budishin,,Federal Republic of Germany,,
N. Dreihann-Holenia,,Austria,,
Anne Hoogendoorn,,Netherlands,,
Tage Andersen,,Denmark,,
Francisco Pinto Balsemão,,Portugal,,
Conrad Black,,Canada,,
Murray H. Finley,,United States,,
Gordon N. Fisher,,Canada,,
Colette Flesch,,Luxembourg,,
Robert Ford,,Canada,,
Knut Frydenlund,,Norway,,
Arthur Furer,,Switzerland,,
Sten Gustafsson,,Sweden,,
Geir Hallgrímsson,,Ireland,,
Tankmar Horn,,Finland,,
Josef Houthuys,,Belgium,,
Per Hysing-Dahl,,Norway,,
Emmanuel Iselin,,Switzerland,,
Claude Julien,,France,,
Jeane Kirkpatrick,,United States,,
Panagiotis Lambrias,,Geece,,
Wolfgang Leonhard,,Federal Republic of Germany,,
Jacques Levesque,,Canada,,
Klaus Liesen,,Federal Republic of Germany,,
David J. Mahoney,,United States,,
Charles Mathias.,,United States,,
Charles Peter McColough,,United States,,
Alois Mertes,,Federal Republic of Germany,,
John L. Mills,,United Kingdom,,
Tor Moursund,,Norway,,
Paul H. Müller,,Switzerland,,
P. F. Niquille,,Switzerland,,
Heinrich Oswald,,Switzerland,,
Richard Pipes,,United States,,
Bernard W. Rogers,,United States,,
Hans Seidel,,Austria,,
Nicholas Soames,,United Kingdom,,
Herbert Stein,,United States,,
Gaston Thorn,,Luxemboug,,
Malcolm Toon,,United States,,
Hans Vatne,,Norway,,
Jean-Francois Verdonnet,,Switzerland,,
Rüdiger von Wechmar,,International,,
Daniel Yankelovich,,United States,,
Andreas Z'Graggen,,Switzerland,,
Jose Luis Gomes,,Portugal,,
Hanno Hartmann,,Federal Republic of Germany,,
Malcolm J. McKechnie,,Canada,,
Charles Muller,,United States,,
Etienne Reuter,,Luxembourg,,
Raymond Roe,,United States,,
F. Stoecker,,Federal Republic of Germany,,
Dwayne O. Andreas,,United States,,"Chairman and Chief Executive Officer,Archer Daniels Midland"
Egon Bahr,,Federal Republic of Germany,,Member of Parliament;
George W. Ball,,United States,,"Senior managing director,Lehman Brothers Kuhn Loeb"
Maria Becket,,Greece,,Former Advisor to Ministers of Coordination and Foreign Affairs
Christoph Bertram,,Federa Republic of Germany,,"Director, TheGerman Institute for International and Security Affairs"
Björn Bjarnason,,Iceland,,"Political Journalist,Morgunblaðið"
Gro Harlem Brundtland,,Norway,,"Member of Parliament, Former Prime Minister of Norway"
Erhard Busek,,Austria,,Deputy Mayor of Vienna; Former Secretary GeneralAustrian People's Party
Jaime Carvajal Urquijo,,Spain,,"Chairman and Chief Executive Officer,Banco Urquijo"
Fredrik Castren,,Finland,,"President and Chief Executive Officer,Kymi Kymmene Oy"
Jean Chrétien,,Canada,,Minister of Justice and Attorney of Canada
Hisse Dekker,,Netherlands,,"President,Philips Gloeilampenfab"
Paul Desmarais,,Canada,,"Chairman and Chief Executive Officer,Power Corporation of Canada"
William Dimma,,Canada,,"President, A.E.LePageLtd. and Board Chairman,Polymer Corporation"
Hermann Eilts,,United States,,"University Professor of International Relations, Research Professor of History and Political Science,Boston University"
Jean François-Poncet,,France,,Former Minister of Foreign of France
Evan G. Galbraith,,United States,,U.S. Ambassador to France
Fritz Halmce,,Switzerland,,"Chairman of the Board of Directors,SIG Swiss Industrial Company; Chairman,Swiss Employers Union"
Robert A. Hanson,,United States,,"President and Chief Operating Officer,John Deere"
Erik Hoffmeyer,,Denmark,,"Chairman of the Board of Governors,Danmarks Nationalbank"
Karen E. House,,United States,,"Washington Correspondent,The Wall Street Journal"
Robin Ibbs,,United Kingdom,,"Executive Director,Imperial Chemical Industries; Former Head,Central Policy Review Staff, Cabinet Office"
Hal Jackman,,Canada,,"Chairman of the Board,Empire Life Insurance Company of America Building"
Elie Kedourie,,United Kingdom,,"Professor of Politics,University of London"
Philippe Lagayette,,France,,"Directeur de Cabinet, Ministry of Economic Affairs and Finance; Author Working Paper Session IV"
Baron Lambert,,Belgium,,"Chairman,Groupe Bruxelles Lambert S.A."
Otto Graf Lambsdorff,,Federal Republic of Germany,,Minister of Economics
Jacques de Larosière,,France,,"Managing Director, France"
Nigel Lawson,,United Kingdom,,"Member of Parliament, Secretary of State for Energy"
George P. Livanos,,Greece,,"Membaer of the Board,Union of Greek Shipowners"
Winston Lord,,United States,,"President,Council on Foreign Relations"
Bruce K. MacLaury,,United States,,"President,Brookings Institution"
Jacques Maisonrouge,,France,,"Chairman of the Board,IBMandWorld Trade Corporation"
Rogerio Martins,,Portugal,,"Chairman, Simapre Investment Company; Former Secretary of State of Industry"
Hans van Mierlo,,Netherlands,,Minister of Defense
Einar Nagell-Erichsen,,Norway,,"Managing Director,Aftenposten/Schibstedgruppen"
James R. Nininger,,Canada,,"President,Conference Board of Canada"
Piero Ostellino,,Italy,,"Columnist,Corriere dell Sera"
Haluk Özgül,,Turkey,,Ambassador of Turkey in Norway
"Robert L. Pfaltzgraff, Jr.",,United States,,"Professor,Fletcher School of Law and Diplomacy; Author Working Paper Session   II"
Karl Otto Pohl,,Federal Republic of Germany,,"President,Deutsche Bundesbank"
James Roche,,United States,,"Senior Deputy Director, Policy Planning Staff, Department of State"
Virginio Rognoni,,Italy,,Minister of Internal Affairs
Lord Roll of Ipsden,,United Kingdom,,"Chairman,S. G. Warburg & Co. Ltd."
Sir John Sainsbury,,United Kingdom,,"Chairman,J. Sainsbury PLC"
E. Antoine Seilliere,,France,,"Director General,Compagnie Internationale pour le Commerce et l'Industrie"
William E. Simon,,United States,,"Chairman, Crescent Diversified Ltd.; Former Secretary of the Treasury; Author Working Paper Session IV"
Henri F. Simonet,,Belgium,,Member of Parliament; Author Working Paper Session I
Anders C. Sjaastad,,Norway,,Minister of Defense
Hermod Skånland,,Norway,,Deputy Governor of theBank of Norway
Lord Soames,,United Kingdom,,
Andre S. Spoor,,Netherlands,,"Editor-in-Chief,NRC Handelsblad"
Robert S. Strauss,,United States,,"Partner,Akin, Gump, Strauss, Hauer & Feld(Attorneys-at-Law); Former U.S. Special Trade Representative for Trade Negotiations"
Svenn Stray,,Norway,,Minister of Foreign Affairs
Bjorn Svedberg,,Sweden,,"President,Telefonaktiebolaget LM Ericsson"
Metin Toker,,Turkey,,"Columnist,Milliyet"
Victor H. Umbricht,,Switzerland,,"Mediator,East African Community; Member of the Board ofCiba-GeigyLtd."
Alexandre de Azeredo Vaz Pinto,,Portugal,,"President, The Institute of Foreign Investment; Former Minister of Commerce"
Paul A. Volcker,,United States,,"Chairman, Board of Governors,Federal Reserve System"
Ben J. Wattenberg,,United States,,"Senior Fellow,American Enterprise Institute; Author Working Paper Session I"
"Niels Werring, Jr.",,Norway,,"Senior Partner,Wilh. Wilhelmsen"
Kåre Willoch,,Norway,,Prime Minister of Norway
Manfred Wörner,,Federal Republic of Germany,,"Member of Parliament,CDU/CSU; Author Working Paper Session I"
Carlos Aritario,,Italy,,Personal Advsor to MinisterRognoni
Jacques Demers,,Canada,,"Special Advisor, Officer of the Minister of Justice and Attorney General of Canada"
R.K. Lochner,,Federal Republic of Germany,,Accompanying Mr.Helmut Kohlas Interermany
Guido Peruzzo,,Federal Republic of Germany,,Assistant to the Minister of Economics
Gianni Ravasio,,Italy,,Assistant to Mr. Gaston
Rudiger von Rosen,,Federal Republic of Germany,,"Head, President's Office,Deutsche Bundesbank"
Folkmar Stoecker,,Federal Republic of Germany,,Assistant to Mr.Walter Scheel
Horst Teltschik,,Federal Republic of Germany,,"Head, Office of Mr.Helmut Kohl"
Umberto Agnelli,,Italy,,"Chairman,FIAT AutoS.p.A.; Vice-Chairman and Managing Director,Istituto Finanziaro Industriale(IFI)"
Hans H. Angermueller,,United States,,"Vice Chairman,Citibank, N.A."
Raymond Barre,,France,,Former Prime Minister; Member of the National Assembly
Seweryn Bialer,,United States,,"Director, Research Institute on International Change,Columbia University"
Lise Bissonette,,Canada,,"Editor-in-Chief,Le Devoir"
Bjorn Bjarnason,,Iceland,,"Political Journalist,Morgunbladid"
Halvdan Bjorum,,Norway,,"Chairman of the Board,A/S Elektrisk Bureau"
Peter Carrington,,United Kingdom,,"Former Foreign Minister; LeaderConservative Party,House of Lords"
Jaime Carvajal y Urquijo,,Spain,,"Chairman of the Board of Directors,Banco Urquijo"
Juan Luis Cebrián,,Spain,,"Editor-in-Chif,El Pais"
Alden W. Clausen,,United States,,"President,The World Bank"
Kenneth W. Dam,,United States,,Deputy Secretary of State
James Dobbins,,United States,,Deputy Assistant Secretary of State
Thomas R. Donahue,,United States,,"Secretary-Treasurer,AFL-CIO"
Elizabeth Drew,,United States,,Journalist
Anders Ferm,,Sweden,,"Ambassador, Permanent Mission of Sweden to the United Nations"
Bernardino Gomes,,Portugal,,"Vice Chairman, Foundation for International Relations"
Alain Gomez,,France,,"Chairman and Chief Executive Officer,Thomson Group"
Hans Heckmann,,Switzerland,,"General Manager,Union Bank of Switzerland"
Jack Heinz,,United States,,"Chairman,H.J. Heinz Company; President, American Friends of Bilderberg, Inc."
Robert Hormats,,United States,,"Vice President,Goldman Sachs & Company"
Peter Jankowitsch,,Austria,,Deputy Secretary General for Foreign Affairs
David T. Kearns,,United States,,"Chairman,Xerox Corporation"
Otto Graf Lambsdorff,,West Germany,,Minister of Economic Affairs
Alexandre Lamfalussy,,Belgium,,"Assistant General Manager,Bank for International Settlements"
Gilles Lamontagne,,Canada,,Minister of Defense
Emile van Lennep,,Netherlands,,"Secretary-General,OECD"
André Leysen,,Belgium,,"Chairman of the Board,AGFA-GEVAERTGroup"
Ruud Lubbers,,Netherlands,,Prime Minister
Allan MacEachen,,Canada,,Deputy Prime Minister and Secretary of State for External Affaris
David Mahoney,,United States,,"Chairman of the Board,Norton SimonInc."
