name,cohort_year,position,century
Frank Bigelow Tarbell,1873,"classicist, professor of Greek and history at Yale, Harvard, and the University of Chicago[11]: 137",19th
Almet Francis Jenks,1875,Justice of the New York Supreme Court[23]: 1326,19th
John Patton Jr.,1875,US Senator[2],19th
Edward Curtis Smith,1875,Governor of Vermont[27]: 22,19th
Walker Blaine,1876,United States Department of State official[11]: 144,19th
Charles Newell Fowler,1876,US Representative from New Jersey[30]: 35,19th
Arthur Twining Hadley,1876,"Yale President 1899–1921[3]: 48, 58, 142",19th
Roger Sherman Baldwin Foster,1878,lawyer and author[18]: 1018,19th
Tudor Storrs Jenks,1878,author[31],19th
William Howard Taft,1878,"27th President of the United States, Chief Justice of the United States, Secretary of War[3]: 182 [32]",19th
Edward Baldwin Whitney,1878,New York Supreme Court justice[11]: 150,19th
Lloyd Wheaton Bowers,1879,Solicitor General of the United States[4]: 127,19th
Oliver David Thompson,1879,"lawyer, American football player and manager[23]: 1347",19th
Ambrose Tighe,1879,member Minnesota House of Representatives[9]: 77,19th
Timothy Lester Woodruff,1879,Lieutenant Governor of New York[2],19th
Walter Camp,1880,father of American football and exercise proponent[3]: 166 [23]: 1348,19th
Sidney Catlin Partridge,1880,"Bishop of Kyoto, Japan, Bishop of the Episcopal Diocese of West Missouri[33]: 80",19th
Henry Waters Taft,1880,"lawyer, Cadwalader, Wickersham & Taft[34]: 7",19th
Edwin Edgerton Aiken,1881,missionary[3]: 196 [35]: 6,19th
Thomas Burr Osborne,1881,"chemist, co-discoverer of Vitamin A[9]: 83–84",19th
Benjamin Brewster,1882,Bishop of Maine and Missionary Bishop of Western Colorado[22]: 19,19th
William Phelps Eno,1882,"traffic planner called the ""Father of Traffic Safety""[34]: 9",19th
Robert Campbell,1882,"son of businessman Robert Campbell, Harvard Law 1888.[36]",19th
Elihu Brintnal Frost,1883,"lawyer, president of several early submarine companies[13]: 112",19th
Eliakim Hastings Moore,1883,"mathematician, namesake of the Moore–Penrose pseudoinverse[37]: 47–8",19th
Joseph Robinson Parrott,1883,president of the Florida East Coast Railway[11]: 162,19th
Horace Dutton Taft,1883,"educator, founder of the Taft School[38]: 14–15",19th
Wilbur Franklin Booth,1884,US federal judge[39]: 14,19th
Maxwell Evarts,1884,"member of the Vermont House of Representatives, attorney for E. H. Harriman[3]: 165",19th
Frank Bosworth Brandegee,1885,US Representative and Senator[23]: 1369,19th
Alfred Cowles Jr.,1886,"lawyer, director Chicago Tribune[40]: 50",19th
Edward Johnson Phelps,1886,president of Northern Trust Safe Deposit Company[40]: 53,19th
Clinton Larue Hare,1887,"lawyer, college football coach[41]",19th
George Griswold Haven Jr.,1887,businessman[13]: 126,19th
Oliver Gould Jennings,1887,"financier, member of Connecticut House of Representatives[42]: 42",19th
William Kent,1887,United States Congressman for California[43]: 107,19th
Irving Fisher,1888,economist and eugenicist[44]: 14,19th
Richard Melancthon Hurd,1888,real estate executive[22]: 36–37,19th
Amos Alonzo Stagg,1888,college football Hall of Fame coach[3]: 126 [45],19th
Charles Otis Gill,1888,"clergyman, author, college football coach[11]: 179",19th
Henry L. Stimson,1888,"Governor-General of the Philippines, US Secretary of War, US Secretary of State[3]: 182 [32]",19th
Gifford Pinchot,1889,First Chief of U.S. Forest Service[32],19th
George Washington Woodruff,1889,"College Hall of Fame football coach, Acting Secretary of the Interior and Pennsylvania Attorney General[25]: 65",19th
Thomas F. Bayard Jr.,1890,US Senator[38]: 29,19th
Fairfax Harrison,1890,president Southern Railway Company[46]: 56–57,19th
Percy Hamilton Stewart,1890,US Representative from New Jersey[35]: 15,19th
Frederic Collin Walcott,1891,US Senator[47]: 21,19th
Hugh Aiken Bayne,1892,"lawyer Strong & Cadwalader, Adjutant General's Office and War Department during World War I[48]",19th
Howell Cheney,1892,"manufacturer, founded Howell Cheney Technical High School[4]: 160",19th
Clive Day,1892,Professor of economic history at Yale[49]: 10–11,19th
Henry S. Graves,1892,"co-founder and first Dean of Yale School of Forestry, 2nd chief of the U.S. Forest Service, founding member and 4th president of the Society of American Foresters[4]: 160",19th
James William Husted Jr.,1892,US Representative[23]: 1392,19th
Pierre Jay,1892,first chairman of the Federal Reserve Bank of New York[50],19th
Thomas Lee McClung,1892,"Treasurer of the United States, College Football Hall of Fame player[51]",19th
Edson Fessenden Gallaudet,1893,aviation pioneer[34]: 32,19th
Thomas Cochran,1894,partner in J.P. Morgan & Company[42]: 64,19th
John Howland,1894,pediatrician at the Johns Hopkins Hospital[52],19th
Ralph Delahaye Paine,1894,journalist and author[23],19th
Harry Payne Whitney,1894,"investment banker, husband of Gertrude Vanderbilt Whitney[3]: 187",19th
Frank Seiler Butterworth,1895,"member Connecticut State Senate, All-American football player and coach[35]: 30",19th
Francis Burton Harrison,1895,"US Representative from New York, Governor-General of the Philippines[4]: 166",19th
Frank Augustus Hinkey,1895,"zinc smelting business, College Football Hall of Fame player and coach[13]: 169–70",19th
Jules Henri de Sibour,1896,architect[40]: 92–93,19th
Anson Phelps Stokes,1896,clergyman and Secretary of Yale University (1899–1921)[3]: 74,19th
Samuel Brinckerhoff Thorne,1896,"mining engineer and executive, College Football Hall of Fame[33]: 149–51",19th
Henry Sloane Coffin,1897,president of the Union Theological Seminary[3]: 127,19th
Clarence Mann Fincke,1897,All-America football player[2],19th
Amos Richards Eno Pinchot,1897,Progressive leader[53]: 88–9,19th
James Wolcott Wadsworth Jr.,1898,U.S. Senator from New York[49]: 35,19th
William Payne Whitney,1898,Whitney family businessman and philanthropist[54]: 171,19th
Frederick H. Brooke,1899,"architect from Washington, D.C.[55]",19th
James McDevitt Magee,1899,US Representative from Pennsylvania[47]: 41,19th
Alfred Gwynne Vanderbilt,1899,member of the Vanderbilt family[56],19th
Frederick Baldwin Adams,1900,railroad executive[57],20th
Ashley Day Leavitt,1900,"Congregational minister, Harvard Congregational Church, Brookline, Massachusetts, frequent lecturer and public speaker[4]: 175",20th
Percy Rockefeller,1900,"director of Brown Brothers Harriman, Standard Oil, and Remington Arms[3]: 165 [27]: 104 [32]",20th
Charles Edward Adams,1904,director of the Federal Reserve Bank of New York[58],20th
Russell Cheney,1904,American painter and noted portrait artist.[3]: 86,20th
Thomas Day Thacher,1904,"US District Court judge, Solicitor General[3]: 183 [4]: 183",20th
John Gillespie Magee,1906,"Yale Chaplain, documenter of the Rape of Nanking[11]: 205",20th
Foster Rockwell,1906,All-America football player and coach[59]: 116,20th
William McCormick Blair,1907,"American financier, heir to the McCormick reaper fortune[60]",20th
Hugh Smith Knox,1907,All-America football player[61]: 102,20th
Samuel Finley Brown Morse,1907,"developer and conservationist, All-America football player[11]: 206",20th
Lucius Horatio Biglow,1908,All-America football player and coach[4]: 189,20th
Charles Seymour,1908,"President of Yale (1937–1951), founding member of The Council on Foreign Relations[3]: 127, 147 [32]",20th
Harold Stanley,1908,co-founder of Morgan Stanley[62],20th
Harvey Hollister Bundy,1909,Assistant Secretary of State (1931–1933)[3]: 183,20th
Allen Trafford Klots,1909,"New York City lawyer and president of the New York City Bar Association, partner at Winthrop & Stimson[3]: 183–4",20th
Edward Harris Coy,1910,College Football Hall of Fame player[61]: 107–8,20th
Albert DeSilver,1910,co-founder American Civil Liberties Union[23]: 1442,20th
