name,sources,source_count
Evan G. Galbraith,"skull_bones, bilderberg",2
John Chafee,"skull_bones, bilderberg",2
McGeorge Bundy,"skull_bones, bilderberg",2
William F. Buckley Jr.,"skull_bones, bilderberg",2
Winston Lord,"skull_bones, bilderberg",2
