source,target,relationship,organization,year
Thomas Thacher,William Kneeland Townsend,Skull and Bones cohort,Skull and Bones,1871
George Foot Moore,Theodore Salisbury Woolsey,Skull and Bones cohort,Skull and Bones,1872
Eben Alexander,Samuel Oscar Prentice,Skull and Bones cohort,Skull and Bones,1873
Eben Alexander,Frank Bigelow Tarbell,Skull and Bones cohort,Skull and Bones,1873
Samuel Oscar Prentice,Frank Bigelow Tarbell,Skull and Bones cohort,Skull and Bones,1873
Almet Francis Jenks,John Patton Jr.,Skull and Bones cohort,Skull and Bones,1875
Almet Francis Jenks,Edward Curtis Smith,Skull and Bones cohort,Skull and Bones,1875
John Patton Jr.,Edward Curtis Smith,Skull and Bones cohort,Skull and Bones,1875
Walker Blaine,Charles Newell Fowler,Skull and Bones cohort,Skull and Bones,1876
Walker Blaine,Arthur Twining Hadley,Skull and Bones cohort,Skull and Bones,1876
Charles Newell Fowler,Arthur Twining Hadley,Skull and Bones cohort,Skull and Bones,1876
Roger Sherman Baldwin Foster,Tudor Storrs Jenks,Skull and Bones cohort,Skull and Bones,1878
Roger Sherman Baldwin Foster,William Howard Taft,Skull and Bones cohort,Skull and Bones,1878
Roger Sherman Baldwin Foster,Edward Baldwin Whitney,Skull and Bones cohort,Skull and Bones,1878
Tudor Storrs Jenks,William Howard Taft,Skull and Bones cohort,Skull and Bones,1878
Tudor Storrs Jenks,Edward Baldwin Whitney,Skull and Bones cohort,Skull and Bones,1878
William Howard Taft,Edward Baldwin Whitney,Skull and Bones cohort,Skull and Bones,1878
Lloyd Wheaton Bowers,Oliver David Thompson,Skull and Bones cohort,Skull and Bones,1879
Lloyd Wheaton Bowers,Ambrose Tighe,Skull and Bones cohort,Skull and Bones,1879
Lloyd Wheaton Bowers,Timothy Lester Woodruff,Skull and Bones cohort,Skull and Bones,1879
Oliver David Thompson,Ambrose Tighe,Skull and Bones cohort,Skull and Bones,1879
Oliver David Thompson,Timothy Lester Woodruff,Skull and Bones cohort,Skull and Bones,1879
Ambrose Tighe,Timothy Lester Woodruff,Skull and Bones cohort,Skull and Bones,1879
Walter Camp,Sidney Catlin Partridge,Skull and Bones cohort,Skull and Bones,1880
Walter Camp,Henry Waters Taft,Skull and Bones cohort,Skull and Bones,1880
Sidney Catlin Partridge,Henry Waters Taft,Skull and Bones cohort,Skull and Bones,1880
Edwin Edgerton Aiken,Thomas Burr Osborne,Skull and Bones cohort,Skull and Bones,1881
Benjamin Brewster,William Phelps Eno,Skull and Bones cohort,Skull and Bones,1882
Benjamin Brewster,Robert Campbell,Skull and Bones cohort,Skull and Bones,1882
William Phelps Eno,Robert Campbell,Skull and Bones cohort,Skull and Bones,1882
Elihu Brintnal Frost,Eliakim Hastings Moore,Skull and Bones cohort,Skull and Bones,1883
Elihu Brintnal Frost,Joseph Robinson Parrott,Skull and Bones cohort,Skull and Bones,1883
Elihu Brintnal Frost,Horace Dutton Taft,Skull and Bones cohort,Skull and Bones,1883
Eliakim Hastings Moore,Joseph Robinson Parrott,Skull and Bones cohort,Skull and Bones,1883
Eliakim Hastings Moore,Horace Dutton Taft,Skull and Bones cohort,Skull and Bones,1883
Joseph Robinson Parrott,Horace Dutton Taft,Skull and Bones cohort,Skull and Bones,1883
Wilbur Franklin Booth,Maxwell Evarts,Skull and Bones cohort,Skull and Bones,1884
Alfred Cowles Jr.,Edward Johnson Phelps,Skull and Bones cohort,Skull and Bones,1886
Clinton Larue Hare,George Griswold Haven Jr.,Skull and Bones cohort,Skull and Bones,1887
Clinton Larue Hare,Oliver Gould Jennings,Skull and Bones cohort,Skull and Bones,1887
Clinton Larue Hare,William Kent,Skull and Bones cohort,Skull and Bones,1887
George Griswold Haven Jr.,Oliver Gould Jennings,Skull and Bones cohort,Skull and Bones,1887
George Griswold Haven Jr.,William Kent,Skull and Bones cohort,Skull and Bones,1887
Oliver Gould Jennings,William Kent,Skull and Bones cohort,Skull and Bones,1887
Irving Fisher,Richard Melancthon Hurd,Skull and Bones cohort,Skull and Bones,1888
Irving Fisher,Amos Alonzo Stagg,Skull and Bones cohort,Skull and Bones,1888
Irving Fisher,Charles Otis Gill,Skull and Bones cohort,Skull and Bones,1888
Irving Fisher,Henry L. Stimson,Skull and Bones cohort,Skull and Bones,1888
Richard Melancthon Hurd,Amos Alonzo Stagg,Skull and Bones cohort,Skull and Bones,1888
Richard Melancthon Hurd,Charles Otis Gill,Skull and Bones cohort,Skull and Bones,1888
Richard Melancthon Hurd,Henry L. Stimson,Skull and Bones cohort,Skull and Bones,1888
Amos Alonzo Stagg,Charles Otis Gill,Skull and Bones cohort,Skull and Bones,1888
Amos Alonzo Stagg,Henry L. Stimson,Skull and Bones cohort,Skull and Bones,1888
Charles Otis Gill,Henry L. Stimson,Skull and Bones cohort,Skull and Bones,1888
Gifford Pinchot,George Washington Woodruff,Skull and Bones cohort,Skull and Bones,1889
Thomas F. Bayard Jr.,Fairfax Harrison,Skull and Bones cohort,Skull and Bones,1890
Thomas F. Bayard Jr.,Percy Hamilton Stewart,Skull and Bones cohort,Skull and Bones,1890
Fairfax Harrison,Percy Hamilton Stewart,Skull and Bones cohort,Skull and Bones,1890
Hugh Aiken Bayne,Howell Cheney,Skull and Bones cohort,Skull and Bones,1892
Hugh Aiken Bayne,Clive Day,Skull and Bones cohort,Skull and Bones,1892
Hugh Aiken Bayne,Henry S. Graves,Skull and Bones cohort,Skull and Bones,1892
Hugh Aiken Bayne,James William Husted Jr.,Skull and Bones cohort,Skull and Bones,1892
Hugh Aiken Bayne,Pierre Jay,Skull and Bones cohort,Skull and Bones,1892
Hugh Aiken Bayne,Thomas Lee McClung,Skull and Bones cohort,Skull and Bones,1892
Howell Cheney,Clive Day,Skull and Bones cohort,Skull and Bones,1892
Howell Cheney,Henry S. Graves,Skull and Bones cohort,Skull and Bones,1892
Howell Cheney,James William Husted Jr.,Skull and Bones cohort,Skull and Bones,1892
Howell Cheney,Pierre Jay,Skull and Bones cohort,Skull and Bones,1892
Howell Cheney,Thomas Lee McClung,Skull and Bones cohort,Skull and Bones,1892
Clive Day,Henry S. Graves,Skull and Bones cohort,Skull and Bones,1892
Clive Day,James William Husted Jr.,Skull and Bones cohort,Skull and Bones,1892
Clive Day,Pierre Jay,Skull and Bones cohort,Skull and Bones,1892
Clive Day,Thomas Lee McClung,Skull and Bones cohort,Skull and Bones,1892
Henry S. Graves,James William Husted Jr.,Skull and Bones cohort,Skull and Bones,1892
Henry S. Graves,Pierre Jay,Skull and Bones cohort,Skull and Bones,1892
Henry S. Graves,Thomas Lee McClung,Skull and Bones cohort,Skull and Bones,1892
James William Husted Jr.,Pierre Jay,Skull and Bones cohort,Skull and Bones,1892
James William Husted Jr.,Thomas Lee McClung,Skull and Bones cohort,Skull and Bones,1892
Pierre Jay,Thomas Lee McClung,Skull and Bones cohort,Skull and Bones,1892
Thomas Cochran,John Howland,Skull and Bones cohort,Skull and Bones,1894
Thomas Cochran,Ralph Delahaye Paine,Skull and Bones cohort,Skull and Bones,1894
Thomas Cochran,Harry Payne Whitney,Skull and Bones cohort,Skull and Bones,1894
John Howland,Ralph Delahaye Paine,Skull and Bones cohort,Skull and Bones,1894
John Howland,Harry Payne Whitney,Skull and Bones cohort,Skull and Bones,1894
Ralph Delahaye Paine,Harry Payne Whitney,Skull and Bones cohort,Skull and Bones,1894
Frank Seiler Butterworth,Francis Burton Harrison,Skull and Bones cohort,Skull and Bones,1895
Frank Seiler Butterworth,Frank Augustus Hinkey,Skull and Bones cohort,Skull and Bones,1895
Francis Burton Harrison,Frank Augustus Hinkey,Skull and Bones cohort,Skull and Bones,1895
Jules Henri de Sibour,Anson Phelps Stokes,Skull and Bones cohort,Skull and Bones,1896
Jules Henri de Sibour,Samuel Brinckerhoff Thorne,Skull and Bones cohort,Skull and Bones,1896
Anson Phelps Stokes,Samuel Brinckerhoff Thorne,Skull and Bones cohort,Skull and Bones,1896
Henry Sloane Coffin,Clarence Mann Fincke,Skull and Bones cohort,Skull and Bones,1897
Henry Sloane Coffin,Amos Richards Eno Pinchot,Skull and Bones cohort,Skull and Bones,1897
Clarence Mann Fincke,Amos Richards Eno Pinchot,Skull and Bones cohort,Skull and Bones,1897
James Wolcott Wadsworth Jr.,William Payne Whitney,Skull and Bones cohort,Skull and Bones,1898
Frederick H. Brooke,James McDevitt Magee,Skull and Bones cohort,Skull and Bones,1899
Frederick H. Brooke,Alfred Gwynne Vanderbilt,Skull and Bones cohort,Skull and Bones,1899
James McDevitt Magee,Alfred Gwynne Vanderbilt,Skull and Bones cohort,Skull and Bones,1899
Frederick Baldwin Adams,Ashley Day Leavitt,Skull and Bones cohort,Skull and Bones,1900
Frederick Baldwin Adams,Percy Rockefeller,Skull and Bones cohort,Skull and Bones,1900
Ashley Day Leavitt,Percy Rockefeller,Skull and Bones cohort,Skull and Bones,1900
Charles Edward Adams,Russell Cheney,Skull and Bones cohort,Skull and Bones,1904
Charles Edward Adams,Thomas Day Thacher,Skull and Bones cohort,Skull and Bones,1904
Russell Cheney,Thomas Day Thacher,Skull and Bones cohort,Skull and Bones,1904
John Gillespie Magee,Foster Rockwell,Skull and Bones cohort,Skull and Bones,1906
William McCormick Blair,Hugh Smith Knox,Skull and Bones cohort,Skull and Bones,1907
William McCormick Blair,Samuel Finley Brown Morse,Skull and Bones cohort,Skull and Bones,1907
Hugh Smith Knox,Samuel Finley Brown Morse,Skull and Bones cohort,Skull and Bones,1907
Lucius Horatio Biglow,Charles Seymour,Skull and Bones cohort,Skull and Bones,1908
Lucius Horatio Biglow,Harold Stanley,Skull and Bones cohort,Skull and Bones,1908
Charles Seymour,Harold Stanley,Skull and Bones cohort,Skull and Bones,1908
Harvey Hollister Bundy,Allen Trafford Klots,Skull and Bones cohort,Skull and Bones,1909
Edward Harris Coy,Albert DeSilver,Skull and Bones cohort,Skull and Bones,1910
Edward Harris Coy,George Leslie Harrison,Skull and Bones cohort,Skull and Bones,1910
Edward Harris Coy,Stephen Philbin,Skull and Bones cohort,Skull and Bones,1910
Edward Harris Coy,Robert Alphonso Taft,Skull and Bones cohort,Skull and Bones,1910
Albert DeSilver,George Leslie Harrison,Skull and Bones cohort,Skull and Bones,1910
Albert DeSilver,Stephen Philbin,Skull and Bones cohort,Skull and Bones,1910
Albert DeSilver,Robert Alphonso Taft,Skull and Bones cohort,Skull and Bones,1910
George Leslie Harrison,Stephen Philbin,Skull and Bones cohort,Skull and Bones,1910
George Leslie Harrison,Robert Alphonso Taft,Skull and Bones cohort,Skull and Bones,1910
Stephen Philbin,Robert Alphonso Taft,Skull and Bones cohort,Skull and Bones,1910
Robert Abbe Gardner,Gerald Clery Murphy,Skull and Bones cohort,Skull and Bones,1912
Alfred Cowles III,Averell Harriman,Skull and Bones cohort,Skull and Bones,1913
Edwin Arthur Burtt,Archibald MacLeish,Skull and Bones cohort,Skull and Bones,1915
Wesley Oler,Howard Phelps Putnam,Skull and Bones cohort,Skull and Bones,1916
Wesley Oler,Donald Ogden Stewart,Skull and Bones cohort,Skull and Bones,1916
Wesley Oler,1912 Summer Olympics,Skull and Bones cohort,Skull and Bones,1916
Howard Phelps Putnam,Donald Ogden Stewart,Skull and Bones cohort,Skull and Bones,1916
Howard Phelps Putnam,1912 Summer Olympics,Skull and Bones cohort,Skull and Bones,1916
Donald Ogden Stewart,1912 Summer Olympics,Skull and Bones cohort,Skull and Bones,1916
Prescott Bush,E. Roland Harriman,Skull and Bones cohort,Skull and Bones,1917
Prescott Bush,Harry William LeGore,Skull and Bones cohort,Skull and Bones,1917
Prescott Bush,H. Neil Mallon,Skull and Bones cohort,Skull and Bones,1917
Prescott Bush,Kenneth Farrand Simpson,Skull and Bones cohort,Skull and Bones,1917
E. Roland Harriman,Harry William LeGore,Skull and Bones cohort,Skull and Bones,1917
E. Roland Harriman,H. Neil Mallon,Skull and Bones cohort,Skull and Bones,1917
E. Roland Harriman,Kenneth Farrand Simpson,Skull and Bones cohort,Skull and Bones,1917
Harry William LeGore,H. Neil Mallon,Skull and Bones cohort,Skull and Bones,1917
Harry William LeGore,Kenneth Farrand Simpson,Skull and Bones cohort,Skull and Bones,1917
H. Neil Mallon,Kenneth Farrand Simpson,Skull and Bones cohort,Skull and Bones,1917
Howard Malcolm Baldrige,F. Trubee Davison,Skull and Bones cohort,Skull and Bones,1918
Howard Malcolm Baldrige,John Chipman Farrar,Skull and Bones cohort,Skull and Bones,1918
Howard Malcolm Baldrige,Artemus Lamb Gates,Skull and Bones cohort,Skull and Bones,1918
Howard Malcolm Baldrige,Robert A. Lovett,Skull and Bones cohort,Skull and Bones,1918
Howard Malcolm Baldrige,Charles J. Stewart,Skull and Bones cohort,Skull and Bones,1918
Howard Malcolm Baldrige,Charles Phelps Taft II,Skull and Bones cohort,Skull and Bones,1918
Howard Malcolm Baldrige,John Martin Vorys,Skull and Bones cohort,Skull and Bones,1918
F. Trubee Davison,John Chipman Farrar,Skull and Bones cohort,Skull and Bones,1918
F. Trubee Davison,Artemus Lamb Gates,Skull and Bones cohort,Skull and Bones,1918
F. Trubee Davison,Robert A. Lovett,Skull and Bones cohort,Skull and Bones,1918
F. Trubee Davison,Charles J. Stewart,Skull and Bones cohort,Skull and Bones,1918
F. Trubee Davison,Charles Phelps Taft II,Skull and Bones cohort,Skull and Bones,1918
F. Trubee Davison,John Martin Vorys,Skull and Bones cohort,Skull and Bones,1918
John Chipman Farrar,Artemus Lamb Gates,Skull and Bones cohort,Skull and Bones,1918
John Chipman Farrar,Robert A. Lovett,Skull and Bones cohort,Skull and Bones,1918
John Chipman Farrar,Charles J. Stewart,Skull and Bones cohort,Skull and Bones,1918
John Chipman Farrar,Charles Phelps Taft II,Skull and Bones cohort,Skull and Bones,1918
John Chipman Farrar,John Martin Vorys,Skull and Bones cohort,Skull and Bones,1918
Artemus Lamb Gates,Robert A. Lovett,Skull and Bones cohort,Skull and Bones,1918
Artemus Lamb Gates,Charles J. Stewart,Skull and Bones cohort,Skull and Bones,1918
Artemus Lamb Gates,Charles Phelps Taft II,Skull and Bones cohort,Skull and Bones,1918
Artemus Lamb Gates,John Martin Vorys,Skull and Bones cohort,Skull and Bones,1918
Robert A. Lovett,Charles J. Stewart,Skull and Bones cohort,Skull and Bones,1918
Robert A. Lovett,Charles Phelps Taft II,Skull and Bones cohort,Skull and Bones,1918
Robert A. Lovett,John Martin Vorys,Skull and Bones cohort,Skull and Bones,1918
Charles J. Stewart,Charles Phelps Taft II,Skull and Bones cohort,Skull and Bones,1918
Charles J. Stewart,John Martin Vorys,Skull and Bones cohort,Skull and Bones,1918
Charles Phelps Taft II,John Martin Vorys,Skull and Bones cohort,Skull and Bones,1918
Lewis Greenleaf Adams,Briton Hadden,Skull and Bones cohort,Skull and Bones,1920
Lewis Greenleaf Adams,Francis Thayer Hobson,Skull and Bones cohort,Skull and Bones,1920
Lewis Greenleaf Adams,David Sinton Ingalls,Skull and Bones cohort,Skull and Bones,1920
Lewis Greenleaf Adams,Henry Luce,Skull and Bones cohort,Skull and Bones,1920
Briton Hadden,Francis Thayer Hobson,Skull and Bones cohort,Skull and Bones,1920
Briton Hadden,David Sinton Ingalls,Skull and Bones cohort,Skull and Bones,1920
Briton Hadden,Henry Luce,Skull and Bones cohort,Skull and Bones,1920
Francis Thayer Hobson,David Sinton Ingalls,Skull and Bones cohort,Skull and Bones,1920
Francis Thayer Hobson,Henry Luce,Skull and Bones cohort,Skull and Bones,1920
David Sinton Ingalls,Henry Luce,Skull and Bones cohort,Skull and Bones,1920
John Sherman Cooper,Russell Davenport,Skull and Bones cohort,Skull and Bones,1923
John Sherman Cooper,F. O. Matthiessen,Skull and Bones cohort,Skull and Bones,1923
Russell Davenport,F. O. Matthiessen,Skull and Bones cohort,Skull and Bones,1923
Edwin Foster Blair,Walter Edwards Houghton,Skull and Bones cohort,Skull and Bones,1924
Edwin Foster Blair,Charles Merville Spofford,Skull and Bones cohort,Skull and Bones,1924
Walter Edwards Houghton,Charles Merville Spofford,Skull and Bones cohort,Skull and Bones,1924
James Jeremiah Wadsworth,George Herbert Walker Jr.,Skull and Bones cohort,Skull and Bones,1927
John Rockefeller Prentice,Lanny Ross,Skull and Bones cohort,Skull and Bones,1928
Granger Kent Costikyan,George Crile Jr.,Skull and Bones cohort,Skull and Bones,1929
Granger Kent Costikyan,Fortune,Skull and Bones cohort,Skull and Bones,1929
George Crile Jr.,Fortune,Skull and Bones cohort,Skull and Bones,1929
H. J. Heinz II,Lewis Abbot Lapham,Skull and Bones cohort,Skull and Bones,1931
H. J. Heinz II,John M. Walker,Skull and Bones cohort,Skull and Bones,1931
Lewis Abbot Lapham,John M. Walker,Skull and Bones cohort,Skull and Bones,1931
Frederick Baldwin Adams Jr.,Samuel Hazard Gillespie Jr.,Skull and Bones cohort,Skull and Bones,1932
Frederick Baldwin Adams Jr.,Tex McCrary,Skull and Bones cohort,Skull and Bones,1932
Frederick Baldwin Adams Jr.,Eugene O'Neill Jr.,Skull and Bones cohort,Skull and Bones,1932
Samuel Hazard Gillespie Jr.,Tex McCrary,Skull and Bones cohort,Skull and Bones,1932
Samuel Hazard Gillespie Jr.,Eugene O'Neill Jr.,Skull and Bones cohort,Skull and Bones,1932
Tex McCrary,Eugene O'Neill Jr.,Skull and Bones cohort,Skull and Bones,1932
Samuel Carnes Collier,Lyman Spitzer,Skull and Bones cohort,Skull and Bones,1935
Samuel Carnes Collier,Sonny Tufts,Skull and Bones cohort,Skull and Bones,1935
Lyman Spitzer,Sonny Tufts,Skull and Bones cohort,Skull and Bones,1935
Jonathan Brewster Bingham,Brendan Gill,Skull and Bones cohort,Skull and Bones,1936
Jonathan Brewster Bingham,John Hersey,Skull and Bones cohort,Skull and Bones,1936
Jonathan Brewster Bingham,John Merrill Knapp,Skull and Bones cohort,Skull and Bones,1936
Brendan Gill,John Hersey,Skull and Bones cohort,Skull and Bones,1936
Brendan Gill,John Merrill Knapp,Skull and Bones cohort,Skull and Bones,1936
John Hersey,John Merrill Knapp,Skull and Bones cohort,Skull and Bones,1936
William H. Orrick Jr.,Potter Stewart,Skull and Bones cohort,Skull and Bones,1937
J. Richardson Dilworth,Clinton Frank,Skull and Bones cohort,Skull and Bones,1938
J. Richardson Dilworth,Albert Hessberg II,Skull and Bones cohort,Skull and Bones,1938
Clinton Frank,Albert Hessberg II,Skull and Bones cohort,Skull and Bones,1938
William P. Bundy,William Welch Kellogg,Skull and Bones cohort,Skull and Bones,1939
McGeorge Bundy,Andrew Downey Orrick,Skull and Bones cohort,Skull and Bones,1940
David Acheson,Debevoise & Plimpton,Skull and Bones cohort,Skull and Bones,1943
James L. Buckley,John Bannister Goodenough,Skull and Bones cohort,Skull and Bones,1944
James L. Buckley,Townsend Walter Hoopes II,Skull and Bones cohort,Skull and Bones,1944
James L. Buckley,William Singer Moorhead,Skull and Bones cohort,Skull and Bones,1944
James L. Buckley,James Whitmore,Skull and Bones cohort,Skull and Bones,1944
John Bannister Goodenough,Townsend Walter Hoopes II,Skull and Bones cohort,Skull and Bones,1944
John Bannister Goodenough,William Singer Moorhead,Skull and Bones cohort,Skull and Bones,1944
John Bannister Goodenough,James Whitmore,Skull and Bones cohort,Skull and Bones,1944
