name,years,country,sector,position
H. Troeger,,West Germany,Unknown,Minister of Finance of Hesse
Vittorio Valletta,,Italy,Unknown,Industrialist; President ofFIAT
Andre Voisin,,France,Unknown,"President,La Federation"
H. F. van Walsem,,Netherlands,Unknown,Industrialist; Member of the Board ofPhilips IndustriesEindhoven
Jean Willems,,Belgium,Unknown,Fondation Universitaire
Thomas Williamson,,United Kingdom,Unknown,"General Secretary,National Union of General and Municipal Workers"
B. H. M. Vlekke,,Netherlands,Unknown,Secretary General of the Netherlands' Society of International Affairs
Raymond Aron,,France,Unknown,
David Astor,,United Kingdom,Unknown,
George Ball,,United States,Unknown,
Fritz Berg,,West Germany,Unknown,
Muharrem Nuri Birgi,,Turkey,Unknown,
Eugene R. Black Sr.,,United States,Unknown,
Robert R. Bowie,,United States,Unknown,
McGeorge Bundy,,United States,Unknown,
Hakon Christiansen,,Denmark,Unknown,
Walker Lee Cisler,,United States,Unknown,
Pierre Commin,,France,Unknown,
B. D. Cooke,,United Kingdom,Unknown,
Arthur Dean,,United States,Unknown,
Thomas E. Dewey,,United States,Unknown,
William Elliot,,United Kingdom,Unknown,
Fritz Erler,,West Germany,Unknown,
Amintore Fanfani,,Italy,Unknown,
John Ferguson,,United States,Unknown,
J. William Fulbright,,United States,Unknown,
Jean de la Garde,,France,Unknown,
Lincoln Gordon,,United States,Unknown,
F. A. de Graaff,,Netherlands,Unknown,
Lawrence Hafstad,,United States,Unknown,
Jens Christian Hauge,,Norway,Unknown,
Brooks Hays,,United States,Unknown,
Arnold Heeney,,Canada,Unknown,
Michael A. Heilprin,,United States,Unknown,
Leif Høegh,,Norway,Unknown,
Paul G. Hoffman,,United States,Unknown,
Charles Douglas Jackson,,United States,Unknown,
William H. Jackson,,United States,Unknown,
Per Jacobsson,,Sweden,Unknown,
George F. Kennan,,United States,Unknown,
Kurt Georg Kiesinger,,West Germany,Unknown,
Henry Kissinger,,United States,Unknown,
Piet Lieftinck,,Netherlands,Unknown,
Imbriani Longo,,Italy,Unknown,
Paul Martin,,Canada,Unknown,
David Maxwell,,United Kingdom,Unknown,
John J. McCloy,,United States,Unknown,
David J. McDonald,,United States,Unknown,
Ralph McGill,,United States,Unknown,
Adnan Menderes,,Turkey,Unknown,
Alexander Menne,,West Germany,Unknown,
Robert Daniel Murphy,,United States,Unknown,
Frank C. Nash,,United States,Unknown,
Paul Nitze,,United States,Unknown,
Allan Noble,,United Kingdom,Unknown,
Morehead Patterson,,United States,Unknown,
John Pomian,,United Kingdom,Unknown,
Don K. Price,,United States,Unknown,
Henry Lithgow Roberts,,United States,Unknown,
David Rockefeller,,United States,Unknown,
Herman van Roijen,,Netherlands,Unknown,
Dean Rusk,,United States,Unknown,
Paul Rykens,,Netherlands,Unknown,
J. L. S. Steel,,United Kingdom,Unknown,
Arthur Hays Sulzberger,,United States,Unknown,
Terkel Terkelsen,,Denmark,Unknown,
John M. Vorys,,United States,Unknown,
Marcus Wallenberg Jr.,,Sweden,Unknown,
Frazar Wilde,,United States,Unknown,
Alexander Wiley,,United States,Unknown,
Otto Wolff von Amerongen,,West Germany,Unknown,
W. T. Wren,,United Kingdom,Unknown,
Paul van Zeeland,,Belgium,Unknown,
Hermann Josef Abs,,West Germany,Unknown,
Dean Acheson,,United States,Unknown,
Gianni Agnelli,,Italy,Unknown,
Walworth Barbour,,United States,Unknown,
Wilfrid Baumgartner,,France,Unknown,
Edward Beddington-Behrens,,United Kingdom,Unknown,
Berthold Beitz,,West Germany,Unknown,
Pieter Blaisse,,Netherlands,Unknown,
James Boden,,West Germany,Unknown,
Erik Boheman,,Sweden,Unknown,
Warren Randolph Burgess,,United States,Unknown,
Louis Camu,,Belgium,Unknown,
Guido Carli,,Italy,Unknown,
Clifford P. Case,,United States,Unknown,
Victor Cavendish-Bentick,,United Kingdom,Unknown,
Ralph Cochrane,,United Kingdom,Unknown,
Erich Dethleffsen,,West Germany,Unknown,
Hugh Gaitskell,,United Kingdom,Unknown,
Walter L. Gordon,,Canada,Unknown,
Jo Grimmond,,United Kingdom,Unknown,
Walter Hallstein,,West Germany,Unknown,
Joseph C. Harsch,,United States,Unknown,
Gabriel Hauge,,United States,Unknown,
Michael Heilprin,,United States,Unknown,
Eelco van Kleffens,,Netherlands,Unknown,
Edward Knollys,,United Kingdom,Unknown,
Ole Kraft,,Denmark,Unknown,
Thorkil Kristensen,,Denmark,Unknown,
Philip Mosely,,United States,Unknown,
Alfred C. Neal,,United States,Unknown,
David Ormsby-Gorex,,United Kingdom,Unknown,
Frans Otten,,Netherlands,Unknown,
Alfred Roberts,,United Kingdom,Unknown,
Michael Ross,,United States,Unknown,
Jacques Rueff,,France,Unknown,
Carlo Schmid,,West Germany,Unknown,
Cortlandt V. R. Schuyler,,United States,Unknown,
J. L. S. Steele,,United Kingdom,Unknown,
Henry Tiarks,,United Kingdom,Unknown,
Every Vermeer,,Netherlands,Unknown,
Marcus Wallenberg,,Sweden,Unknown,
James David Zellerbach,,United States,Unknown,
Gianni Agnelli,,"Vice-president,FIAT",Unknown,Italy
Robert Orville Anderson,,"President,Aspen Institute for Humanistic Studies",Unknown,United States
Raymond Aron,,Journalist and University Professor,Unknown,France
George Ball,,Under Secretary of State,Unknown,United States
John W. H. Bassett,,"Chairman and publisher,The Telegramme",Unknown,Canada
Jacques Baumel,,"Senator; Secretary General,Union pour la Nouvelle Republique",Unknown,France
Wilfrid Baumgartner,,Former Minister of Finance,Unknown,France
Henrik Beer,,"Secretary General,League of Red Cross Societies",Unknown,Sweden
Frederic Bennett,,Member of Parliament,Unknown,United Kingdom
Fritz Berg,,"President,Federation of German Industries",Unknown,West Germany
Muharrem Nuri Birgi,,Ambassador toNATO,Unknown,Turkey
Kurt Birrenbach,,Member of Parliament,Unknown,West Germany
Pieter Blaisse,,Member of Parliament; Member ofEuropean Parliament,Unknown,Netherlands
Max Brauer,,Former Burgomaster of Hamburg; Member of Parliament,Unknown,West Germany
James Callaghan,,Member of Parliament,Unknown,United Kingdom
Victor Cavendish-Bentinck,,Adviser on Foreign Affairs toUnilever,Unknown,West Germany
Albin Chalandon,,"Director,Banque Commerciale de Paris",Unknown,France
Paul Chambers,,"Chairman,Imperial Chemical Industries Limited",Unknown,United Kingdom
Walker Lee Cisler,,Industrialist,Unknown,United States
Harold van B. Cleveland,,"Director, Atlantic Policy Studies",Unknown,United States
Emilio Collado,,"Vice President,Standard Oil New Jersey",Unknown,United States
Lammot du Pont Copeland,,President ofE.I. du Pont de Nemours Inc.,Unknown,United States
Karl Czernetz,,MP; Chairman Foreign Affairs Committee of theAustrian Parliament,Unknown,Austria
Sven Dahlman,,Former Ambassador,Unknown,Sweden
Arthur Dean,,International Lawyer and Diplomat,Unknown,United States
Alighiero de Micheli,,"Industrialist; Former Chairman,Federation of Italian Industries",Unknown,Italy
James Duncan,,Company Director,Unknown,Canada
Nejat Eczacıbaşı,,President ofEczacıbaşı İlaçlarıLimited Şirketi,Unknown,Turkey
Hans Engen,,Under Secretary of State; Ministry of Foreign Affairs,Unknown,Norway
Fritz Erler,,Member of Parliament,Unknown,West Germany
Maurice Faure,,Member of Parliament,Unknown,France
André Fontaine,,Chief Foreign ServiceLe Monde,Unknown,France
Cornelius Gallagher,,Congressman,Unknown,United States
Pierre Gallois,,General,Unknown,France
William Gossett,,Deputy Special Representative for Trade Negotiations,Unknown,United States
A. G. S. Griffin,,Banker,Unknown,Canada
Colin Gubbins,,Industrialist,Unknown,United Kingdom
Guillaume Guindey,,"General manager,Bank for International Settlements",Unknown,France
Gabriel Hauge,,"Vice-Chairman, ManufacturersHanover Trust Company",Unknown,United States
Denis Healey,,Member of Parliament; Labour Party Spokesman on Defense,Unknown,United Kingdom
Edward Heath,,Lord Privy Seal,Unknown,United Kingdom
Henry J. Heinz II,,"Chairman of the Board,Heinz",Unknown,United States
Hans von Herwarth,,Secretary of State to Federal President,Unknown,West Germany
William Alexander Hewitt,,"President,Deere & Company",Unknown,United States
Bourke B. Hickenlooper,,Senator,Unknown,United States
Leif Høegh,,Shipowner,Unknown,Norway
Charles D. Jackson,,"Publisher,Life Magazine",Unknown,United States
Paul Jolles,,Delegate of the Federal Council for Trade Agreements,Unknown,Switzerland
Herman Kling,,Minister of Justice,Unknown,Sweden
Max Kohnstamm,,"Vice-President,Action Committee for a United States of Europe",Unknown,Netherlands
Ole Bjørn Kraft,,Former Minister of Foreign Affairs; Member of Parliament,Unknown,Denmark
Lyman L. Lemnitzer,,Supreme Commander Allied Forces in Europe,Unknown,United States
Emiel van Lennep,,"Chairman, Monetary CommitteeEEC",Unknown,Netherlands
Sicco Mansholt,,"Vice-President, EEC",Unknown,Netherlands
Edward Mason,,Professor,Unknown,United States
René Massigli,,Ambassador,Unknown,France
Marcelo Duarte Matias,,Ambassador to France; Former Minister of Foreign Affairs,Unknown,Portugal
George McGhee,,Government Official,Unknown,United States
Johannes Meynen,,"President,AKU",Unknown,Netherlands
Roland Michener,,Barrister and Business Executive,Unknown,Canada
Guy Mollet,,Former Prime Minister,Unknown,France
Robert Murphy,,"President,Corning Glass International",Unknown,United States
George Nebolsine,,International Lawyer,Unknown,United States
Paul Nitze,,"Assistant Secretary for International Affairs, Department of Defense",Unknown,United States
Johan Nykopp,,Former Ambassador; General Manager ofTampella,Unknown,Finland
Aurelio Peccei,,Managing Director of Italconsult,Unknown,Italy
Mario Pedini,,Member of Parliament; Member ofEuropean Parliament,Unknown,Italy
James A. Perkins,,Vice-president ofCarnegie Corporation; President-elect ofCornell University,Unknown,United States
Max Petitpierre,,Former President of Swiss Confederation,Unknown,Switzerland
Jacques Piette,,Civil Servant,Unknown,France
Antoine Pinay,,Former Prime Minister,Unknown,France
Alberto Pirelli,,Industrialist,Unknown,Italy
René Pleven,,Member of Parliament; Former Prime Minister,Unknown,France
Pietro Quaroni,,Ambassador to the United Kingdom,Unknown,Italy
David Rockefeller,,"President,Chase Manhattan Bank",Unknown,United States
Ivo Samkalden,,Professor of International Law,Unknown,Netherlands
Carlo Schmid,,"Vice-president, Federal Parliament",Unknown,West Germany
Jacques Segard,,Industrialist,Unknown,France
René Sergent,,"Vice-president,Syndicat General de la Construction Electrique",Unknown,France
Jean-Charles Snoy et d'Oppuers,,"Managing Director,Compagnie dOutremer pour Industrie et la Finance",Unknown,Belgium
Paul-Henri Spaak,,Minister of Foreign Affairs,Unknown,Belgium
Charles Spofford,,Lawyer; Former U.S. Representative onNorth Atlantic Council,Unknown,United States
Christofore Stratos,,"Director, Cotton IndustriePiraiki-Patraiki",Unknown,Greece
Terkel Terkelsen,,Editor,Unknown,Denmark
Mark Turner,,"Managing Director,Kleinwort Benson Ltd",Unknown,United Kingdom
Pierre Uri,,"Consultant for the Conduct of Studies,Atlantic Institute",Unknown,France
Marcus Wallenberg Jr.,,"Chairman,Federation of Swedish Industries",Unknown,Sweden
Otto Wolff von Amerongen,,"Senior partner,Otto Wolff Koln",Unknown,West Germany
Montague Christopher Woodhouse,,Parliamentary Secretary to the Home Office,Unknown,United Kingdom
Dean Acheson,,Former Secretary of State,Unknown,United States
Gianni Agnelli,,"Vice-chairman of the Board and Managing Director,FIAT Co.",Unknown,Italy
Jacques Baumel,,"Senator, Secretary General,Union pour la Nouvelle République",Unknown,France
Alastair Buchan,,"Director,International Institute for Strategic Studies",Unknown,United Kingdom
McGeorge Bundy,,Special Assistant to the President for National Security Affairs,Unknown,United States
Louis Cabot,,"President,Cabot Corporation",Unknown,United States
Emilio Collado,,"Vice President,Standard Oil Co. New Jersey",Unknown,United States
Gaston Defferre,,Department of National Assembly; Mayor of Marseille,Unknown,France
James Duncan Jones,,Company Director,Unknown,Canada
Henry Scrymgeour-Wedderburn,,Minister of State for Foreign Affairs,Unknown,United Kingdom
Fritz Erler,,Member of Parliament; Floor LeaderSocial-Democratic Party,Unknown,West Germany
Gerald Ford,,Congressman,Unknown,United States
Peter Frelinghuysen,,Congressman,Unknown,United States
J. William Fulbright,,Senator,Unknown,United States
Pierre Gallois,,General; Specialist in Nuclear Problems,Unknown,France
Anthony Griffin,,Banker,Unknown,Canada
Per Hækkerup,,Minister of Foreign Affairs,Unknown,Denmark
Gabriel Hauge,,"President, ManufacturersHanover Trust Company",Unknown,United States
Arnold Heeney,,"Former Ambassador to the United States; Chairman, International Joint Commission on Water Resources",Unknown,Canada
Henry J. Heinz II,,"Chairman of the Board,Heinz Co.",Unknown,United States
Christian A. Herter Jr.,,Former Secretary of State; Special Representative for Trade Negotiations,Unknown,United States
Leif Høegh,,"Shipowner, founder ofLeif Höegh & Co",Unknown,Norway
Chet Holifield,,Congressman,Unknown,United States
Charles D. Jackson,,"Senior Vice President,Time, Inc.",Unknown,United States
Henry M. Jackson,,Senator,Unknown,United States
Jacob Javits,,Senator,Unknown,United States
George Jellicoe,,First Lord of the Admiralty,Unknown,United Kingdom
Kercho,,"Assistant,Ecole des Sciences Politiques et Sociales",Unknown,Belgium
Henry Kissinger,,"Associate Professor,Harvard UniversityCenter for International Affairs",Unknown,United States
Eelco van Kleffens,,Chief Representative in the United Kingdom of theEuropean Coal and Steel Community,Unknown,Netherlands
Harald Kundtzon,,"General Manager,Den Danske Landmandsbank",Unknown,Denmark
Max Kohnstamm,,"Vice president,Action Committee for a United States of Europe",Unknown,Netherlands
Henri J. de Koster,,"President,Federation of Netherlands Industries",Unknown,Netherlands
Franz Krapf,,"Chief of the Political Division, Ministry of Foreign Affairs",Unknown,West Germany
Knut von Kühlmann-Stumm,,Member of Parliament; Floor Leader of theFree Democratic Party,Unknown,West Germany
Christian de La Malène,,Member of Parliament; Member ofEuropean Parliament,Unknown,France
Ugo La Malfa,,Member of Parliament,Unknown,Italy
Halvard Lange,,Minister of Foreign Affairs,Unknown,Norway
Emiel van Lennep,,"Chairman, Monetary Committee,EEC; Chairman, Working Party 3,OECD",Unknown,Netherlands
Franklin A. Lindsay,,President ofItek,Unknown,United States
Jean de Lipkowski,,Diplomat; Member of Parliament; Member of European Parliament,Unknown,France
Lawrence Litchfield Jr.,,"Chairman of the Board,Aluminum Company of America(Alcoa)",Unknown,United States
Ettore Lolli,,"Deputy General Manager,Banca Nazionale del Lavoro",Unknown,Italy
Joseph Luns,,Minister of Foreign Affairs,Unknown,Netherlands
Ernst Majonica,,Member of Parliament,Unknown,West Germany
Franco Maria Malfatti,,Under Secretary Ministry of Industry and Commerce,Unknown,Italy
Sicco Mansholt,,"Vice President,EEC",Unknown,Netherlands
John J. McCloy,,Lawyer and Diplomat,Unknown,United States
George C. McGhee,,Ambassador to the Federal Republic of West Germany,Unknown,United States
Johannes Meynen,,"Managing Director, AKU",Unknown,Netherlands
Robert Daniel Murphy,,"President,Corning Glass International",Unknown,United States
Johan Nykopp,,Former Ambassador; President ofTampella,Unknown,Finland
Lester B. Pearson,,Prime Minister,Unknown,Canada
Aurelio Peccei,,"Managing Director, Italconsult",Unknown,Italy
Eric Roll,,Economic Minister at the British Embassy to the United States; Head of the UK Treasury and Supply Delegation,Unknown,United Kingdom
Giovanni Scaglia,,"Member of Parliament; Vice Chairman,Christian Democratic Party",Unknown,Italy
Carlo Schmid,,"Vice President, Federal Parliament",Unknown,West Germany
Pierre-Paul Schweitzer,,"Managing Director,International Monetary Fund",Unknown,France
Marshall D. Shulman,,"Research Associate, Russian Research Center,Harvard University; Professor of International, Politics,Fletcher School of Law and Diplomacy",Unknown,United States
Harold Page Smith,,Supreme Allied Commander ofNATO,Unknown,United States
Jean-Charles Snoy et d'Oppuers,,"Managing Director,Compagnie Internationale pour le Commerce et l'Industrie",Unknown,Belgium
Hans Speidel,,Special Adviser on Defense Matters,Unknown,West Germany
Michael Stewart,,Member of Parliament,Unknown,United Kingdom
Dirk Stikker,,Secretary General ofNATO,Unknown,Netherlands
Shepard Stone,,"Director, International Affairs Program,Ford Foundation",Unknown,United States
Terkel Terkelsen,,Chief Editor,Unknown,Denmark
Victor Umbricht,,"Former Head of Swiss Treasury and Diplomat; President,Ciba Specialty Chemicals, New York",Unknown,Switzerland
Paolo Vittorelli,,Senator,Unknown,Italy
Ludger Westrick,,"Secretary of State, Office Federal Chancellor",Unknown,West Germany
Robert Winters,,Industrialist,Unknown,Canada
Otto Wolff von Amerongen,,"Senior Partner,Otto Wolff Koln",Unknown,West Germany
Walter Wriston,,"Executive Vice-president,First National City Bank",Unknown,United States
Eric Wyndham White,,"Executive Secretary,GATT",Unknown,United Kingdom
Princess Beatrix of the Netherlands,,Dutch Crown Princess,Unknown,Netherlands
Andreas E. van Braam Houckgeest,,,Unknown,Netherlands
Vittorino Chiusano,,,Unknown,Italy
Carlisle H. Humelsine,,Former Assistant Secretary of State for Administration,Unknown,United States
Alfred Mozer,,,Unknown,Belgium
Bertie le Roy,,,Unknown,Netherlands
Hubert Ansiaux,,Belgium,Unknown,
Charles Arliotis,,Greece,Unknown,
Prodromos Bodosakis-Athanasiadis,,Greece,Unknown,
Rainer Barzel,,West Germany,Unknown,
Jacques Baumel,,France,Unknown,
Bjarni Benediktsson,,Iceland,Unknown,
Frederic Bennett,,United Kingdom,Unknown,
John Brademas,,United States,Unknown,
Kingman Brewster Jr.,,United States,Unknown,
Gerardo Broggini,,Switzerland,Unknown,
Manlio Brosio,,Italy,Unknown,
David K. E. Bruce,,United States,Unknown,
Eugenio Cefis,,Italy,Unknown,
Emilio Collado,,United States,Unknown,
Donald C. Cook,,United States,Unknown,
John James Deutsch,,Canada,Unknown,
Hedley Donovan,,United States,Unknown,
Nejat Eczacıbaşı,,Turkey,Unknown,
"Prince Philip, Duke of Edinburgh",,United Kingdom,Unknown,
Otmar Emminger,,West Germany,Unknown,
Reay Geddes,,United Kingdom,Unknown,
Anthony Griffin,,Canada,Unknown,
Henry J. Heinz II,,United States,Unknown,
Paul Huvelin,,France,Unknown,
Harald Knudtzo,,Denmark,Unknown,
Hans de Koster,,Netherlands,Unknown,
Ugo La Malfa,,Italy,Unknown,
Jean Lecanuet,,France,Unknown,
Emiel van Lennep,,Netherlands,Unknown,
John Lindsay,,United States,Unknown,
John H. Loudon,,Netherlands,Unknown,
Joseph Luns,,Netherlands,Unknown,
Robert Marjolin,,France,Unknown,
Reginald Maudling,,United Kingdom,Unknown,
Neil McKinnon,,Canada,Unknown,
Johan A. Melander,,Norway,Unknown,
Lord Mountbatten of Burma,,United Kingdom,Unknown,
Ivar Norgaard,,Denmark,Unknown,
Johan Nykopp,,Finland,Unknown,
Olof Palme,,Sweden,Unknown,
Mario Pedini,,Italy,Unknown,
James A. Perkins,,United States,Unknown,
Howard Petersen,,United States,Unknown,
Giuseppe Petrilli,,Italy,Unknown,
Panayotis Pipinelis,,Greece,Unknown,
Leopoldo Pirelli,,Italy,Unknown,
Hugo Portisch,,Austria,Unknown,
Eberhard Reinhardt,,Switzerland,Unknown,
James Reston,,United States,Unknown,
Henry Reuss,,United States,Unknown,
Robert V. Roosa,,United States,Unknown,
Mariano Rumor,,Italy,Unknown,
Ivo Samkalden,,Netherlands,Unknown,
Paul A. Samuelson,,United States,Unknown,
Maurice Sauve,,Canada,Unknown,
Karl Schiller,,West Germany,Unknown,
Adolph W. Schmidt,,United States,Unknown,
Pierre-Paul Schweitzer,,France,Unknown,
Baron Snoy et dOppuers,,Belgium,Unknown,
Shepard Stone,,United States,Unknown,
Dick Taverne,,United Kingdom,Unknown,
Paolo Vittorelli,,Italy,Unknown,
Siegmund Warburg,,United Kingdom,Unknown,
Princess Beatrix,,Netherlands,Unknown,
A. Egbert van Braam Houckgeest,,Netherlands,Unknown,
Marchese Jean Gaspare Cittadini Cesi,,Italy,Unknown,
Vittorino Chiusano,,Italy,Unknown,
Bertie le Roy,,Netherlands,Unknown,
Edwin Vernede,,Netherlands,Unknown,
Piero Bassetti,,Italy,Unknown,
David E. Bell,,United States,Unknown,
Kurt Birrenbach,,West Germany,Unknown,
Zbigniew Brzezinski,,United States,Unknown,
Alastair Buchan,,United Kingdom,Unknown,
Marcel Cadieux,,Canada,Unknown,
Andrew Cohen,,United Kingdom,Unknown,
Emilio G. Collado,,United States,Unknown,
Auguste Cool,,Belgium,Unknown,
Davidson Dunton,,Canada,Unknown,
Ludwig Erhard,,West Germany,Unknown,
Manuel R. Espirito Santo Silva,,Portugal,Unknown,
Marcel Faribault,,Canada,Unknown,
Max Frankel,,United States,Unknown,
Jacques Georges-Picot,,France,Unknown,
Roswell Gilpatric,,United States,Unknown,
Fred R. Harris,,United States,Unknown,
Chet Holifield,,United States,Unknown,
Thomas V. Jones,,United States,Unknown,
Cyril Kleinwort,,United Kingdom,Unknown,
Harald Knudtzon,,Denmark,Unknown,
Jens Otto Krag,,Denmark,Unknown,
Halvard Lange,,Norway,Unknown,
Franco Maria Malfatti,,Italy,Unknown,
Edward S. Mason,,United States,Unknown,
James McCormack,,United States,Unknown,
Hans Merkle,,West Germany,Unknown,
F. Bradford Morse,,United States,Unknown,
Con O'Neill,,United Kingdom,Unknown,
Rudolph A. Peterson,,United States,Unknown,
Walter Reuther,,United States,Unknown,
Eric Roll,,United Kingdom,Unknown,
Helmut Schmidt,,West Germany,Unknown,
Urs Schwarz,,Switzerland,Unknown,
Jean-Charles Snoy et d'Oppuers,,Belgium,Unknown,
Charles Spofford,,United States,Unknown,
Gerhard Stoltenberg,,West Germany,Unknown,
Gunnar Thoroddsen,,Iceland,Unknown,
Jan Tinbergen,,Netherlands,Unknown,
John W. Tuthill,,United States,Unknown,
Charles Wheeler,,United Kingdom,Unknown,
Robert Winters,,Canada,Unknown,
George David Woods,,United States,Unknown,
Eric Wyndham White,,United Kingdom,Unknown,
Jelle Zijlstra,,Netherlands,Unknown,
Michael von Waldthausen,,West Germany,Unknown,
David Barran,,United Kingdom,Unknown,
Kurt Becker,,West Germany,Unknown,
Fritz Beebe,,United States,Unknown,
Jean Casanova,,France,Unknown,
Harold van B. Cleveland,,United States,Unknown,
Harlan Cleveland,,United States,Unknown,
Guido Colonna di Paliano,,Italy,Unknown,
Piet Dankert,,Netherlands,Unknown,
John Diebold,,United States,Unknown,
James Eayrs,,Canada,Unknown,
Mario Ferrari Aggradi,,Italy,Unknown,
Arnold Alexander Hall,,United Kingdom,Unknown,
Henri Hartung,,France,Unknown,
Edward Heath,,United Kingdom,Unknown,
Stanley Hoffmann,,United States,Unknown,
Quintin Hogg,,United Kingdom,Unknown,
Yngve Holmberg,,Sweden,Unknown,
Donald Hornig,,United States,Unknown,
Henry M. Jackson,,United States,Unknown,
Carl Kaysen,,United States,Unknown,
Frank Kearton,,United Kingdom,Unknown,
Antonie Knoppers,,United States,Unknown,
Max Kohnstamm,,Netherlands,Unknown,
Joseph Kraf,,United States,Unknown,
Jaap Kymmell,,Netherlands,Unknown,
Théo Lefèvre,,Belgium,Unknown,
Jules Léger,,Canada,Unknown,
Charles McC. Mathias Jr.,,United States,Unknown,
Niels Matthiasen,,Denmark,Unknown,
John T. McNaughton,,United States,Unknown,
Bill Moyers,,United States,Unknown,
Preben Munthe,,Norway,Unknown,
Prince Claus of the Netherlands,,Netherlands,Unknown,
John Newhouse,,United States,Unknown,
Stavros Niarchos,,Greece,Unknown,
Alberto Franco Nogueire,,Portugal,Unknown,
Lauris Norstad,,United States,Unknown,
Aurelio Peccei,,Italy,Unknown,
James Alfred Perkins,,United States,Unknown,
John Pesmazoglou,,Greece,Unknown,
Piet Gerards,,United States,Unknown,
Emanuel R. Piore,,United States,Unknown,
Eugene V. Rostow.,,United States,Unknown,
Ambroise Roux,,France,Unknown,
Hartley Shawcross,,United Kingdom,Unknown,
Henri Simonet,,Belgium,Unknown,
Svend Sorensen,,Denmark,Unknown,
Otto Grieg Tidemand,,Norway,Unknown,
Ludovic Tron,,France,Unknown,
Berend J. Udink,,Netherlands,Unknown,
Paolo Battino Vittorelli,,Italy,Unknown,
Hermann Withalm,,Austria,Unknown,
Richard Munby,,United Kingdom,Unknown,
Carel J. van Schelle,,Netherlands,Unknown,
Jean Victor Allard,,Canada,Unknown,
Egon Bahr,,West Germany,Unknown,
Leonard Beaton,,Canada,Unknown,
Michel Bélanger,,Canada,Unknown,
Barend Biesheuvel,,Netherlands,Unknown,
Alan R. Booth,,International,Unknown,
Maurice Bridgeman,,United States,Unknown,
Alastair Francis Buchan,,United Kingdom,Unknown,
Paul Chambers,,United Kingdom,Unknown,
Frederick Deming,,United States,Unknown,
C. Douglas Dillon,,United States,Unknown,
William S. Dodge,,Canada,Unknown,
Henry Ford II,,United States,Unknown,
Jacques de Fouchier,,France,Unknown,
Thomas S. Gates Jr.,,United States,Unknown,
Henry Hauge,,United States,Unknown,
John Wendell Holmes,,Canada,Unknown,
Christian F. Karsten,,Netherlands,Unknown,
Ward Keener,,United States,Unknown,
Pieter Kuin,,Netherlands,Unknown,
Allen Lambert,,Canada,Unknown,
Paul Lendvai,,Austria,Unknown,
Richard Löwenthal,,West Germany,Unknown,
Björn Lundvall,,Sweden,Unknown,
Charles McC. Mathias,,United States,Unknown,
William McLean Hamilton,,Canada,Unknown,
Robert McNamara,,United States,Unknown,
Pierre Mendès France,,France,Unknown,
Karl Mommer,,West Germany,Unknown,
Alberto F. Nogueira,,Portugal,Unknown,
Roberto Olivetti,,Italy,Unknown,
Duncan Oppenheim,,United Kingdom,Unknown,
Jacques Parizeau,,Canada,Unknown,
Lester B. Pearson,,Canada,Unknown,
Enoch Powell,,United Kingdom,Unknown,
Louis Rasminsky,,Canada,Unknown,
Ron Ritchie,,Canada,Unknown,
Alberto Ronchey,,Italy,Unknown,
Edmond Adolphe de Rothschild,,France,Unknown,
Claude Ryan,,Canada,Unknown,
John T. Ryan,,United States,Unknown,
Herman Sandberg,,Netherlands,Unknown,
Andrew Shonfield,,United Kingdom,Unknown,
Jacques Solvay,,elgium,Unknown,
Svend O. Sorensen,,Denmark,Unknown,
Dieter Spethmann,,West Germany,Unknown,
Altiero Spinelli,,Italy,Unknown,
Ugo Stille,,Italy,Unknown,
Albert Thornbrough,,Canada,Unknown,
Pierre Trudeau,,Canada,Unknown,
İlter Türkmen,,Turkey,Unknown,
Victor Umbricht,,Switzerland,Unknown,
Vernon Raymond,,United States,Unknown,
Willem Visser 't Hooft,,Netherlands,Unknown,
Bernard Thillaye,,Canada,Unknown,
Michel Albert,,France,Unknown,
Rüdiger Altmann,,West Germany,Unknown,
Daniel Bell,,United States,Unknown,
Godfried van Benthem van den Bergh,,Netherlands,Unknown,
Walter Berchtold,,Switzerland,Unknown,
Claude Bissell,,Canada,Unknown,
Edward Brooke,,United States,Unknown,
Antonio Cariglia,,Italy,Unknown,
Fabio Luca Cavazza,,Italy,Unknown,
Karl Czernetz,,Austria,Unknown,
Ralf Dahrendorf,,West Germany,Unknown,
Prince Henrik of Denmark,,Denmark,Unknown,
François Duchêne,,United Kingdom,Unknown,
Kjell-Olof Feldt,,Sweden,Unknown,
François Fontaine,,France,Unknown,
Johannes Green,,Denmark,Unknown,
Denis Hamilton,,United Kingdom,Unknown,
Edward K. Hamilton,,United States,Unknown,
Poul Hartling,,Denmark,Unknown,
Jerome Heldring,,Netherlands,Unknown,
Daniel Janssen,,Belgium,Unknown,
Vernon E. Jordan Jr.,,United States,Unknown,
Jens Kampmann,,Denmark,Unknown,
Kenneth Keniston,,United States,Unknown,
Hans H. Koch,,Denmark,Unknown,
Peter F. Krogh,,United States,Unknown,
Halvard M. Lange,,Norway,Unknown,
Lars R. Langslet,,Norway,Unknown,
Jens Litten,,West Germany,Unknown,
Fred Luchsinger,,Switzerland,Unknown,
Mærsk Mc-Kinney Møller,,Denmark,Unknown,
Marshall McLuhan,,Canada,Unknown,
David A. Morse,,International,Unknown,
Piero Ottone,,Italy,Unknown,
Olivier Reverdin,,Switzerland,Unknown,
Elliot Richardson,,United States,Unknown,
Manfred E. Ritterbach,,West Germany,Unknown,
Frank Roberts,,United Kingdom,Unknown,
