name,years,country,sector,position
Jürgen Trittin,2012[13],DeutschlandDeutschland,Politik,"Bundesminister für Umwelt, Naturschutz und Reaktorsicherheitvon 1998 bis 2005,FraktionsvorsitzenderderBundestagsfraktion Bündnis 90/Die Grünen2009 bis 2013"
Guido Westerwelle,2007[32],DeutschlandDeutschland,Politik,Bundesvorsitzender derFreien Demokratischen Partei(FDP) von 2001 bis 2011;Bundesminister des Auswärtigender Bundesrepublik Deutschland von 2009 bis 2013
Thomas Enders,"1984, 2005, 2009,[3]2010,[4]2011,[28]2012,[13]2013,[5]2014,[33]2015,[20]2016",DeutschlandDeutschland,Wirtschaft,"Vorstandsvorsitzender derAirbus GroupSE, seit 2012Chief Executive Officer(CEO) vonEADSvon 2007 bis 2012"
Alfred Herrhausen,1988[34],DeutschlandDeutschland,Wirtschaft,Vorstandssprecher der Deutschen Bank von 1988 bis 1989; Opfer eines Bombenattentats
Peter Löscher,"2009,[3]2010,[4]2011,[28]2012,[13]2013[5]",DeutschlandDeutschland,Wirtschaft,Vorstandsvorsitzender derSiemens AGvon 2007 bis 2013
Klaus Kleinfeld,"2009,[3]2010,[4]2012,[13]2013,[5]2014,[33]2015[20]",DeutschlandDeutschland,Wirtschaft,VorstandsvorsitzenderderSiemens AGvon 2005 bis 2007;Chief Executive Officerdes amerikanischen AluminiumkonzernsAlcoavon 2008 bis 2016
Dieter Zetsche,2010[4],DeutschlandDeutschland,Wirtschaft,Vorstandsvorsitzender derDaimler AGvon 2006 bis 2019
Hilmar Kopper,2000[35],DeutschlandDeutschland,Wirtschaft,Vorstandssprecher derDeutschen Bankvon 1989 bis 1997
Wolfgang Reitzle,2012[13],DeutschlandDeutschland,Wirtschaft,VorstandsvorsitzenderderLinde AGvon 2003 bis 2014
Jürgen Schrempp,"2005,[23]2007[36]",DeutschlandDeutschland,Wirtschaft,Ehemaliger Vorstandsvorsitzender derDaimler-Benz AG(1995–1998) und der DaimlerChrysler AG (1998–2005)
